y.test	Lable
GSM1900772	-2.68589732046196	0
GSM1900777	3.61270320937879	1
GSM1900789	-5.15177377032807	0
GSM1900806	-2.51499608654745	0
GSM1900817	2.48303378238325	1
GSM1900826	-2.12365811408069	0
GSM1900834	-3.11334780869154	0
GSM1900849	-10.904271005891	0
GSM1900856	-0.997356097120183	0
GSM1900863	-2.25506524831774	0
GSM1900890	0.935184069500889	1
GSM1900905	-2.16318841732511	1
GSM1900912	-2.51719603509092	0
GSM1900922	1.00000433189184	1
GSM1900929	-1.38026241850963	0
GSM1900944	-3.37696057250355	0
GSM1900950	0.572338073000406	0
