"","coef_SCAD","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross"
"CCDC152",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"KIF3A",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"TRAV4",NA,-0.101477817226382,1,-0.199760761967152,2,-0.111156036857502,3,-0.111156036857502,4,-0.0950984347322208,5,-0.101477817226382,6,-0.0888347058126371,7,-0.138540083361938,8,-0.111156036857502,9,-0.0593887336989429,10,-0.138540083361938,11,-0.199760761967152,12,-0.12406602683187,13,-0.0888347058126371,14,-0.199760761967152,15,-0.158601565043039,16,-0.111156036857502,17,-0.138540083361938,18,-0.111156036857502,19,-0.0950984347322208,20,-0.0888347058126371,21,-0.12406602683187,22,-0.0950984347322208,23,-0.138540083361938,24,-0.0950984347322208,25,-0.0950984347322208,26,-0.138540083361938,27,-0.0950984347322208,28,-0.101477817226382,29,-0.111156036857502,30
"PCDHGB5",NA,-0.0763458166567351,1,-0.194341960596913,2,-0.0906167904129586,3,-0.0906167904129586,4,-0.0646514523866064,5,-0.0763458166567351,6,-0.0529922334670224,7,-0.128749664449819,8,-0.0906167904129586,9,-0.00952742432320848,10,-0.128749664449819,11,-0.194341960596913,12,-0.108806665493423,13,-0.0529922334670224,14,-0.194341960596913,15,-0.154775379624862,16,-0.0906167904129586,17,-0.128749664449819,18,-0.0906167904129586,19,-0.0646514523866064,20,-0.0529922334670224,21,-0.108806665493423,22,-0.0646514523866064,23,-0.128749664449819,24,-0.0646514523866064,25,-0.0646514523866064,26,-0.128749664449819,27,-0.0646514523866064,28,-0.0763458166567351,29,-0.0906167904129586,30
"MED12L",NA,0,1,0.0120417411301175,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0.0120417411301175,12,0,13,0,14,0.0120417411301175,15,0.00295515658393723,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"ZNF605",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"SLC25A4",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"MIR3151",NA,0.0183956611331663,1,0,2,0.0159924264588327,3,0.0159924264588327,4,0.0190547969596121,5,0.0183956611331663,6,0.0193572129145033,7,0.00518559578526297,8,0.0159924264588327,9,0.0172003043418485,10,0.00518559578526297,11,0,12,0.0110763000796035,13,0.0193572129145033,14,0,15,0,16,0.0159924264588327,17,0.00518559578526297,18,0.0159924264588327,19,0.0190547969596121,20,0.0193572129145033,21,0.0110763000796035,22,0.0190547969596121,23,0.00518559578526297,24,0.0190547969596121,25,0.0190547969596121,26,0.00518559578526297,27,0.0190547969596121,28,0.0183956611331663,29,0.0159924264588327,30
"NCALD",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"FAM86EP",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
