"","coef_elastic","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross"
"RBPMS2",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"SIGLEC17P",NA,-0.113621766927832,1,-0.183534522060071,2,-0.121032229552379,3,-0.0419291728783851,4,-0.128082448048813,5,-0.128082448048813,6,-0.121032229552379,7,-0.1407503272556,8,-0.0394322504504899,9,-0.113621766927832,10,-0.134470301817233,11,-0.0444703867114371,12,-0.152859978261798,13,-0.128082448048813,14,-0.134470301817233,15,-0.113621766927832,16,-0.106165247763371,17,-0.0746710719420906,18,-0.106165247763371,19,-0.152859978261798,20,-0.0444703867114371,21,-0.0661924248349516,22,-0.113621766927832,23,-0.0444703867114371,24,-0.0595316235987037,25,-0.0746710719420906,26,-0.128082448048813,27,-0.0828121694443735,28,-0.0661924248349516,29,-0.0986315974588413,30
"PROS1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"PPBP",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"MYCT1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"GUCY1B1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"P2RY12",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"MGAM2",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"TMEM40",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"KIR3DL1",NA,-0.0395084428373636,1,-0.0734704555224616,2,-0.0443181594643858,3,0,4,-0.0484127783657026,5,-0.0484127783657026,6,-0.0443181594643858,7,-0.0562956832714951,8,0,9,-0.0395084428373636,10,-0.0524152981962852,11,0,12,-0.0634879256067419,13,-0.0484127783657026,14,-0.0524152981962852,15,-0.0395084428373636,16,-0.0345958949607338,17,-0.0144222134711751,18,-0.0345958949607338,19,-0.0634879256067419,20,0,21,-0.00859677558325474,22,-0.0395084428373636,23,0,24,-0.00425823042958036,25,-0.0144222134711751,26,-0.0484127783657026,27,-0.0196656757527585,28,-0.00859677558325474,29,-0.0294550412259077,30
"RAB27B",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
