ID	ENTREZ_GENE_ID
100009613_at	100009613
100009676_at	100009676
10000_at	10000
10001_at	10001
10002_at	10002
100033413_at	100033413
100033422_at	100033422
100033423_at	100033423
100033424_at	100033424
100033425_at	100033425
100033426_at	100033426
100033427_at	100033427
100033428_at	100033428
100033430_at	100033430
100033431_at	100033431
100033432_at	100033432
100033434_at	100033434
100033435_at	100033435
100033436_at	100033436
100033437_at	100033437
100033438_at	100033438
100033439_at	100033439
100033440_at	100033440
100033441_at	100033441
100033445_at	100033445
100033447_at	100033447
100033451_at	100033451
100033453_at	100033453
100033603_at	100033603
100033801_at	100033801
100033804_at	100033804
100033805_at	100033805
100033806_at	100033806
100033807_at	100033807
100033808_at	100033808
100033809_at	100033809
100033811_at	100033811
100033812_at	100033812
100033813_at	100033813
100033814_at	100033814
100033815_at	100033815
100033820_at	100033820
100033821_at	100033821
100033822_at	100033822
100036563_at	100036563
100036564_at	100036564
100036565_at	100036565
100036566_at	100036566
100037417_at	100037417
100038246_at	100038246
10003_at	10003
100048912_at	100048912
100049587_at	100049587
100049716_at	100049716
10004_at	10004
10005_at	10005
10006_at	10006
100073347_at	100073347
10007_at	10007
10008_at	10008
100093630_at	100093630
100093698_at	100093698
10009_at	10009
1000_at	1000
100101266_at	100101266
100101467_at	100101467
100101490_at	100101490
100101938_at	100101938
10010_at	10010
100113378_at	100113378
100113379_at	100113379
100113381_at	100113381
100113382_at	100113382
100113384_at	100113384
100113386_at	100113386
100113389_at	100113389
100113391_at	100113391
100113392_at	100113392
100113393_at	100113393
100113402_at	100113402
100113403_at	100113403
100113404_at	100113404
100113407_at	100113407
10011_at	10011
100124412_at	100124412
100124516_at	100124516
100124533_at	100124533
100124534_at	100124534
100124535_at	100124535
100124536_at	100124536
100124537_at	100124537
100124538_at	100124538
100124539_at	100124539
100124540_at	100124540
100124700_at	100124700
100125288_at	100125288
100125556_at	100125556
100126270_at	100126270
100126296_at	100126296
100126297_at	100126297
100126299_at	100126299
100126302_at	100126302
100126303_at	100126303
100126304_at	100126304
100126306_at	100126306
100126307_at	100126307
100126308_at	100126308
100126309_at	100126309
100126310_at	100126310
100126313_at	100126313
100126314_at	100126314
100126315_at	100126315
100126316_at	100126316
100126318_at	100126318
100126319_at	100126319
100126320_at	100126320
100126323_at	100126323
100126324_at	100126324
100126326_at	100126326
100126327_at	100126327
100126329_at	100126329
100126331_at	100126331
100126332_at	100126332
100126333_at	100126333
100126334_at	100126334
100126335_at	100126335
100126336_at	100126336
100126337_at	100126337
100126340_at	100126340
100126341_at	100126341
100126342_at	100126342
100126343_at	100126343
100126345_at	100126345
100126346_at	100126346
100126347_at	100126347
100126348_at	100126348
100126349_at	100126349
100126350_at	100126350
100126355_at	100126355
100126356_at	100126356
100126447_at	100126447
100126693_at	100126693
100126780_at	100126780
100126781_at	100126781
100126784_at	100126784
100126791_at	100126791
100126793_at	100126793
100127206_at	100127206
100127888_at	100127888
100127889_at	100127889
100127967_at	100127967
100127983_at	100127983
100128002_at	100128002
100128023_at	100128023
100128025_at	100128025
100128054_at	100128054
100128055_at	100128055
100128071_at	100128071
100128076_at	100128076
100128081_at	100128081
100128098_at	100128098
100128108_at	100128108
100128124_at	100128124
100128126_at	100128126
100128139_at	100128139
100128164_at	100128164
100128176_at	100128176
100128191_at	100128191
100128233_at	100128233
100128239_at	100128239
100128242_at	100128242
100128252_at	100128252
100128264_at	100128264
100128276_at	100128276
100128285_at	100128285
100128288_at	100128288
100128292_at	100128292
100128317_at	100128317
100128325_at	100128325
100128327_at	100128327
100128338_at	100128338
100128340_at	100128340
100128361_at	100128361
100128364_at	100128364
100128374_at	100128374
100128378_at	100128378
100128386_at	100128386
100128398_at	100128398
100128420_at	100128420
100128496_at	100128496
100128505_at	100128505
100128511_at	100128511
100128531_at	100128531
100128554_at	100128554
100128560_at	100128560
100128569_at	100128569
100128573_at	100128573
100128590_at	100128590
100128593_at	100128593
100128594_at	100128594
100128640_at	100128640
100128653_at	100128653
100128675_at	100128675
100128682_at	100128682
100128714_at	100128714
100128731_at	100128731
100128750_at	100128750
100128770_at	100128770
100128782_at	100128782
100128787_at	100128787
100128788_at	100128788
100128811_at	100128811
100128818_at	100128818
100128822_at	100128822
100128830_at	100128830
100128881_at	100128881
100128885_at	100128885
100128890_at	100128890
100128893_at	100128893
100128905_at	100128905
100128908_at	100128908
100128927_at	100128927
100128946_at	100128946
100128977_at	100128977
100128993_at	100128993
100128998_at	100128998
100129027_at	100129027
100129029_at	100129029
100129034_at	100129034
100129046_at	100129046
100129055_at	100129055
100129060_at	100129060
100129066_at	100129066
100129075_at	100129075
