GeneID	Symbol
491	600	BAK1P1
492	601	BAK1P2
493	602	BCL3
494	603	BCL5
495	604	BCL6
496	605	BCL7A
497	606	NBEAP1
498	607	BCL9
499	608	TNFRSF17
500	610	HCN2
501	611	OPN1SW
502	613	BCR
503	616	BCRP4
504	617	BCS1L
505	618	BCYRN1
506	619	BCYRN1P1
507	620	BCYRN1P2
508	622	BDH1
509	623	BDKRB1
510	624	BDKRB2
511	627	BDNF
512	628	BEVI
513	629	CFB
514	631	BFSP1
515	632	BGLAP
516	633	BGN
517	634	CEACAM1
518	635	BHMT
519	636	BICD1
520	637	BID
521	638	BIK
522	639	PRDM1
523	640	BLK
524	641	BLM
525	642	BLMH
526	643	CXCR5
527	644	BLVRA
528	645	BLVRB
529	646	BNC1
530	648	BMI1
531	649	BMP1
532	650	BMP2
533	651	BMP3
534	652	BMP4
535	653	BMP5
536	654	BMP6
537	655	BMP7
538	656	BMP8B
539	657	BMPR1A
540	658	BMPR1B
541	659	BMPR2
542	660	BMX
543	661	POLR3D
544	662	BNIP1
545	663	BNIP2
546	664	BNIP3
547	665	BNIP3L
548	666	BOK
549	667	DST
550	668	FOXL2
551	669	BPGM
552	670	BPHL
553	671	BPI
554	672	BRCA1
555	673	BRAF
556	675	BRCA2
557	676	BRDT
558	677	ZFP36L1
559	678	ZFP36L2
560	680	BRS3
561	682	BSG
562	683	BST1
563	684	BST2
564	685	BTC
565	686	BTD
566	687	KLF9
567	688	KLF5
568	689	BTF3
569	690	BTF3P11
570	693	BTF3P1
571	694	BTG1
572	695	BTK
573	696	BTN1A1
574	698	BTS1
575	699	BUB1
576	700	BVR1
577	701	BUB1B
578	705	BYSL
579	706	TSPO
580	708	C1QBP
581	710	SERPING1
582	711	ERC2-IT1
583	712	C1QA
584	713	C1QB
585	714	C1QC
586	715	C1R
587	716	C1S
588	717	C2
589	718	C3
590	719	C3AR1
591	720	C4A
592	721	C4B
593	722	C4BPA
594	724	C4BPAP2
595	725	C4BPB
596	726	CAPN5
597	727	C5
598	728	C5AR1
599	729	C6
600	730	C7
601	731	C8A
602	732	C8B
603	733	C8G
604	734	OSGIN2
605	735	C9
606	738	VPS51
607	740	MRPL49
608	741	ZNHIT2
609	744	MPPED2
610	745	MYRF
611	746	TMEM258
612	747	DAGLA
613	750	GAS8-AS1
614	752	FMNL1
615	753	LDLRAD4
616	754	PTTG1IP
617	755	C21orf2
618	757	TMEM50B
619	758	MPPED1
620	759	CA1
621	760	CA2
622	761	CA3
623	762	CA4
624	763	CA5A
625	764	CA5AP1
626	765	CA6
627	766	CA7
628	767	CA8
629	768	CA9
630	770	CA11
631	771	CA12
632	772	CACD
633	773	CACNA1A
634	774	CACNA1B
635	775	CACNA1C
636	776	CACNA1D
637	777	CACNA1E
638	778	CACNA1F
639	779	CACNA1S
640	780	DDR1
641	781	CACNA2D1
642	782	CACNB1
643	783	CACNB2
644	784	CACNB3
645	785	CACNB4
646	786	CACNG1
647	788	SLC25A20
648	789	SLC25A20P1
649	790	CAD
650	793	CALB1
651	794	CALB2
652	795	S100G
653	796	CALCA
654	797	CALCB
655	798	CALCP
656	799	CALCR
657	800	CALD1
658	801	CALM1
659	802	CALM1P1
660	804	CALM1P2
661	805	CALM2
662	806	CALM2P2
663	807	CALM2P3
664	808	CALM3
665	810	CALML3
666	811	CALR
667	813	CALU
668	814	CAMK4
669	815	CAMK2A
670	816	CAMK2B
671	817	CAMK2D
672	818	CAMK2G
673	819	CAMLG
674	820	CAMP
675	821	CANX
676	822	CAPG
677	823	CAPN1
678	824	CAPN2
679	825	CAPN3
680	826	CAPNS1
681	827	CAPN6
682	828	CAPS
683	829	CAPZA1
684	830	CAPZA2
685	831	CAST
686	832	CAPZB
687	833	CARS
688	834	CASP1
689	835	CASP2
690	836	CASP3
691	837	CASP4
692	838	CASP5
693	839	CASP6
694	840	CASP7
695	841	CASP8
696	842	CASP9
697	843	CASP10
698	844	CASQ1
699	845	CASQ2
700	846	CASR
701	847	CAT
702	856	CATR1
703	857	CAV1
704	858	CAV2
705	859	CAV3
706	860	RUNX2
707	861	RUNX1
708	862	RUNX1T1
709	863	CBFA2T3
710	864	RUNX3
711	865	CBFB
712	866	SERPINA6
713	867	CBL
714	868	CBLB
715	869	CBLN1
716	871	SERPINH1
717	873	CBR1
718	874	CBR3
719	875	CBS
720	878	CCA1
721	881	CCIN
722	882	CCAL1
723	883	KYAT1
724	885	CCK
725	886	CCKAR
726	887	CCKBR
727	889	KRIT1
728	890	CCNA2
729	891	CCNB1
730	892	CCNC
731	894	CCND2
732	895	CCND2P1
733	896	CCND3
734	897	CCND3P1
735	898	CCNE1
736	899	CCNF
737	900	CCNG1
738	901	CCNG2
739	902	CCNH
740	904	CCNT1
741	905	CCNT2
742	907	CCT
743	908	CCT6A
744	909	CD1A
745	910	CD1B
746	911	CD1C
747	912	CD1D
748	913	CD1E
749	914	CD2
750	915	CD3D
751	916	CD3E
752	917	CD3G
753	919	CD247
754	920	CD4
755	921	CD5
756	922	CD5L
757	923	CD6
758	924	CD7
759	925	CD8A
760	926	CD8B
761	927	CD8B2
762	928	CD9
763	929	CD14
764	930	CD19
765	931	MS4A1
766	932	MS4A3
767	933	CD22
768	935	CD24P1
769	936	CD24P2
770	937	CD24P3
771	938	CD24P4
772	939	CD27
773	940	CD28
774	941	CD80
775	942	CD86
776	943	TNFRSF8
777	944	TNFSF8
778	945	CD33
779	946	SIGLEC6
780	947	CD34
781	948	CD36
782	949	SCARB1
783	950	SCARB2
784	951	CD37
785	952	CD38
786	953	ENTPD1
787	954	ENTPD2
788	955	ENTPD6
789	956	ENTPD3
790	957	ENTPD5
791	958	CD40
792	959	CD40LG
793	960	CD44
794	961	CD47
795	962	CD48
796	963	CD53
797	965	CD58
798	966	CD59
799	967	CD63
800	968	CD68
801	969	CD69
802	970	CD70
803	971	CD72
804	972	CD74
805	973	CD79A
806	974	CD79B
807	975	CD81
808	976	ADGRE5
809	977	CD151
810	978	CDA
811	981	CDAN3
812	982	CDB2
813	983	CDK1
814	984	CDK11B
815	987	LRBA
816	988	CDC5L
817	989	SEPT7
818	990	CDC6
819	991	CDC20
820	993	CDC25A
821	994	CDC25B
822	995	CDC25C
823	996	CDC27
824	997	CDC34
825	998	CDC42
826	999	CDH1
827	1000	CDH2
828	1001	CDH3
829	1002	CDH4
830	1003	CDH5
831	1004	CDH6
832	1005	CDH7
833	1006	CDH8
834	1007	CDH9
835	1008	CDH10
836	1009	CDH11
837	1010	CDH12
838	1011	CDH12P2
839	1012	CDH13
840	1013	CDH15
841	1014	CDH16
842	1015	CDH17
843	1016	CDH18
844	1017	CDK2
845	1018	CDK3
846	1019	CDK4
847	1020	CDK5
848	1021	CDK6
849	1022	CDK7
850	1023	CDL2
851	1024	CDK8
852	1025	CDK9
853	1026	CDKN1A
854	1027	CDKN1B
855	1028	CDKN1C
856	1029	CDKN2A
857	1030	CDKN2B
858	1031	CDKN2C
859	1032	CDKN2D
860	1033	CDKN3
861	1036	CDO1
862	1038	CDR1
863	1039	CDR2
864	1040	CDS1
865	1041	CDSN
866	1043	CD52
867	1044	CDX1
868	1045	CDX2
869	1046	CDX4
870	1047	CLGN
871	1048	CEACAM5
872	1050	CEBPA
873	1051	CEBPB
874	1052	CEBPD
875	1053	CEBPE
876	1054	CEBPG
877	1055	CECR
878	1056	CEL
879	1057	CELP
880	1058	CENPA
881	1059	CENPB
882	1060	CENPC
883	1061	CENPCP1
884	1062	CENPE
885	1063	CENPF
886	1066	CES1
887	1068	CETN1
888	1069	CETN2
889	1070	CETN3
890	1071	CETP
891	1072	CFL1
892	1073	CFL2
893	1074	CFL1P5
894	1075	CTSC
895	1080	CFTR
896	1081	CGA
897	1082	CGB3
898	1083	CGF1
899	1084	CEACAM3
900	1085	CEACAMP5
901	1086	CEACAMP11
902	1087	CEACAM7
903	1088	CEACAM8
904	1089	CEACAM4
905	1090	CEACAMP1
906	1091	CEACAMP2
907	1092	CEACAMP3
908	1093	CEACAMP4
909	1094	CEACAMP6
910	1095	CEACAMP7
911	1096	CEACAMP8
912	1097	CEACAMP9
913	1098	CEACAMP10
914	1101	CHAD
915	1102	RCBTB2
916	1103	CHAT
917	1104	RCC1
918	1105	CHD1
919	1106	CHD2
920	1107	CHD3
921	1108	CHD4
922	1109	AKR1C4
923	1111	CHEK1
924	1112	FOXN3
925	1113	CHGA
926	1114	CHGB
927	1116	CHI3L1
928	1117	CHI3L2
929	1118	CHIT1
930	1119	CHKA
931	1120	CHKB
932	1121	CHM
933	1122	CHML
934	1123	CHN1
935	1124	CHN2
936	1128	CHRM1
937	1129	CHRM2
938	1130	LYST
939	1131	CHRM3
940	1132	CHRM4
941	1133	CHRM5
942	1134	CHRNA1
943	1135	CHRNA2
944	1136	CHRNA3
945	1137	CHRNA4
946	1138	CHRNA5
947	1139	CHRNA7
948	1140	CHRNB1
949	1141	CHRNB2
950	1142	CHRNB3
951	1143	CHRNB4
952	1144	CHRND
953	1145	CHRNE
954	1146	CHRNG
955	1147	CHUK
956	1149	CIDEA
957	1152	CKB
958	1153	CIRBP
959	1154	CISH
960	1155	TBCB
961	1156	CKBE
962	1157	CKBP1
963	1158	CKM
964	1159	CKMT1B
965	1160	CKMT2
966	1161	ERCC8
967	1163	CKS1B
968	1164	CKS2
969	1167	CLA3
970	1173	AP2M1
971	1174	AP1S1
972	1175	AP2S1
973	1176	AP3S1
974	1178	CLC
975	1179	CLCA1
976	1180	CLCN1
977	1181	CLCN2
978	1182	CLCN3
979	1183	CLCN4
980	1184	CLCN5
981	1185	CLCN6
982	1186	CLCN7
983	1187	CLCNKA
984	1188	CLCNKB
985	1191	CLU
986	1192	CLIC1
987	1193	CLIC2
988	1195	CLK1
989	1196	CLK2
990	1197	CLK2P1
991	1198	CLK3
992	1200	TPP1
993	1201	CLN3
994	1203	CLN5
995	1204	CLNS1AP1
996	1207	CLNS1A
997	1208	CLPS
998	1209	CLPTM1
999	1211	CLTA
1000	1212	CLTB
1001	1213	CLTC
1002	1215	CMA1
1003	1218	CMD1B
1004	1230	CCR1
1005	1232	CCR3
1006	1233	CCR4
1007	1234	CCR5
1008	1235	CCR6
1009	1236	CCR7
1010	1237	CCR8
1011	1238	ACKR2
1012	1240	CMKLR1
1013	1241	LTB4R
1014	1243	CMM
1015	1244	ABCC2
1016	1245	CMR1A
1017	1246	CMR2A
1018	1247	CMR3A
1019	1253	CMTX2
1020	1254	CMTX3
1021	1255	CNA1
1022	1257	CNC2
1023	1258	CNGB1
1024	1259	CNGA1
1025	1260	CNGA2
1026	1261	CNGA3
1027	1262	CNGA4
1028	1263	PLK3
1029	1264	CNN1
1030	1265	CNN2
1031	1266	CNN3
1032	1267	CNP
1033	1268	CNR1
1034	1269	CNR2
1035	1270	CNTF
1036	1271	CNTFR
1037	1272	CNTN1
1038	1275	COD2
1039	1277	COL1A1
1040	1278	COL1A2
1041	1279	COL1AR
1042	1280	COL2A1
1043	1281	COL3A1
1044	1282	COL4A1
1045	1283	CTD
1046	1284	COL4A2
1047	1285	COL4A3
1048	1286	COL4A4
1049	1287	COL4A5
1050	1288	COL4A6
1051	1289	COL5A1
1052	1290	COL5A2
1053	1291	COL6A1
1054	1292	COL6A2
1055	1293	COL6A3
1056	1294	COL7A1
1057	1295	COL8A1
1058	1296	COL8A2
1059	1297	COL9A1
1060	1298	COL9A2
1061	1299	COL9A3
1062	1300	COL10A1
1063	1301	COL11A1
1064	1302	COL11A2
1065	1303	COL12A1
1066	1305	COL13A1
1067	1306	COL15A1
1068	1307	COL16A1
1069	1308	COL17A1
1070	1310	COL19A1
1071	1311	COMP
1072	1312	COMT
1073	1314	COPA
1074	1315	COPB1
1075	1316	KLF6
1076	1317	SLC31A1
1077	1318	SLC31A2
1078	1319	CORD1
1079	1321	CORD4
1080	1325	CORT
1081	1326	MAP3K8
1082	1327	COX4I1
1083	1329	COX5B
1084	1330	COX5BP1
1085	1331	COX5BP2
1086	1332	COX5BP3
1087	1333	COX5BP4
1088	1336	COX5BP7
1089	1337	COX6A1
1090	1338	COX6A1P1
1091	1339	COX6A2
1092	1340	COX6B1
1093	1342	COX6B1P2
1094	1343	COX6B1P3
1095	1345	COX6C
1096	1346	COX7A1
1097	1347	COX7A2
1098	1348	COX7A2P2
1099	1349	COX7B
1100	1350	COX7C
1101	1351	COX8A
1102	1352	COX10
1103	1353	COX11
1104	1355	COX15
1105	1356	CP
1106	1357	CPA1
1107	1358	CPA2
1108	1359	CPA3
1109	1360	CPB1
1110	1361	CPB2
1111	1362	CPD
1112	1363	CPE
1113	1364	CLDN4
1114	1365	CLDN3
1115	1366	CLDN7
1116	1368	CPM
1117	1369	CPN1
1118	1370	CPN2
1119	1371	CPOX
1120	1373	CPS1
1121	1374	CPT1A
1122	1375	CPT1B
1123	1376	CPT2
1124	1378	CR1
1125	1379	CR1L
1126	1380	CR2
1127	1381	CRABP1
1128	1382	CRABP2
1129	1384	CRAT
1130	1385	CREB1
1131	1386	ATF2
1132	1387	CREBBP
1133	1388	ATF6B
1134	1389	CREBL2
1135	1390	CREM
1136	1392	CRH
1137	1393	CRHBP
1138	1394	CRHR1
1139	1395	CRHR2
1140	1396	CRIP1
1141	1397	CRIP2
1142	1398	CRK
1143	1399	CRKL
1144	1400	CRMP1
1145	1401	CRP
1146	1404	HAPLN1
1147	1406	CRX
1148	1407	CRY1
1149	1408	CRY2
1150	1409	CRYAA
1151	1410	CRYAB
1152	1411	CRYBA1
1153	1412	CRYBA2
1154	1413	CRYBA4
1155	1414	CRYBB1
1156	1415	CRYBB2
1157	1416	CRYBB2P1
1158	1417	CRYBB3
1159	1418	CRYGA
1160	1419	CRYGB
1161	1420	CRYGC
1162	1421	CRYGD
1163	1423	CRYGFP
1164	1424	CRYGGP
1165	1427	CRYGS
1166	1428	CRYM
1167	1429	CRYZ
1168	1430	CRYZP1
1169	1431	CS
1170	1432	MAPK14
1171	1434	CSE1L
1172	1435	CSF1
1173	1436	CSF1R
1174	1437	CSF2
1175	1438	CSF2RA
1176	1439	CSF2RB
1177	1440	CSF3
1178	1441	CSF3R
1179	1442	CSH1
1180	1443	CSH2
1181	1444	CSHL1
1182	1445	CSK
1183	1446	CSN1S1
1184	1447	CSN2
1185	1448	CSN3
1186	1452	CSNK1A1
1187	1453	CSNK1D
1188	1454	CSNK1E
1189	1455	CSNK1G2
1190	1456	CSNK1G3
1191	1457	CSNK2A1
1192	1459	CSNK2A2
1193	1460	CSNK2B
1194	1462	VCAN
1195	1463	NCAN
1196	1464	CSPG4
1197	1465	CSRP1
1198	1466	CSRP2
1199	1467	CSRP2P1
1200	1468	SLC25A10
1201	1469	CST1
1202	1470	CST2
1203	1471	CST3
1204	1472	CST4
1205	1473	CST5
1206	1474	CST6
1207	1475	CSTA
1208	1476	CSTB
1209	1477	CSTF1
1210	1478	CSTF2
1211	1479	CSTF3
1212	1480	CSTP1
1213	1481	CSTP2
1214	1482	NKX2-5
1215	1483	CTAA1
1216	1484	CTAA2
1217	1485	CTAG1B
1218	1486	CTBS
1219	1487	CTBP1
1220	1488	CTBP2
1221	1489	CTF1
1222	1490	CTGF
1223	1491	CTH
1224	1493	CTLA4
1225	1495	CTNNA1
1226	1496	CTNNA2
1227	1497	CTNS
1228	1498	CTNNA1P1
1229	1499	CTNNB1
1230	1500	CTNND1
1231	1501	CTNND2
1232	1503	CTPS1
1233	1504	CTRB1
1234	1506	CTRL
1235	1508	CTSB
1236	1509	CTSD
1237	1510	CTSE
1238	1511	CTSG
1239	1512	CTSH
1240	1513	CTSK
1241	1514	CTSL
1242	1515	CTSV
1243	1517	CTSLP2
1244	1518	CTSLP8
1245	1519	CTSO
1246	1520	CTSS
1247	1521	CTSW
1248	1522	CTSZ
1249	1523	CUX1
1250	1524	CX3CR1
1251	1525	CXADR
1252	1526	CXB3S
1253	1527	TEX28
1254	1528	CYB5A
1255	1531	CYB5AP3
1256	1532	CYB5AP4
1257	1534	CYB561
1258	1535	CYBA
1259	1536	CYBB
1260	1537	CYC1
1261	1538	CYLC1
1262	1539	CYLC2
1263	1540	CYLD
1264	1541	CYMD
1265	1543	CYP1A1
1266	1544	CYP1A2
1267	1545	CYP1B1
1268	1548	CYP2A6
1269	1549	CYP2A7
1270	1550	CYP2A7P1
1271	1551	CYP3A7
1272	1553	CYP2A13
1273	1555	CYP2B6
1274	1556	CYP2B7P
1275	1557	CYP2C19
1276	1558	CYP2C8
1277	1559	CYP2C9
1278	1562	CYP2C18
1279	1564	CYP2D7
1280	1565	CYP2D6
1281	1566	CYP2D7BP
1282	1568	CYP2D8P
1283	1571	CYP2E1
1284	1572	CYP2F1
1285	1573	CYP2J2
1286	1576	CYP3A4
1287	1577	CYP3A5
1288	1578	CYP3A51P
1289	1579	CYP4A11
1290	1580	CYP4B1
1291	1581	CYP7A1
1292	1582	CYP8B1
1293	1583	CYP11A1
1294	1584	CYP11B1
1295	1585	CYP11B2
1296	1586	CYP17A1
1297	1587	ADAM3A
1298	1588	CYP19A1
1299	1589	CYP21A2
1300	1590	CYP21A1P
1301	1591	CYP24A1
1302	1592	CYP26A1
1303	1593	CYP27A1
1304	1594	CYP27B1
1305	1595	CYP51A1
1306	1596	ADAM3B
1307	1600	DAB1
1308	1601	DAB2
1309	1602	DACH1
1310	1603	DAD1
1311	1604	CD55
1312	1605	DAG1
1313	1606	DGKA
1314	1607	DGKB
1315	1608	DGKG
1316	1609	DGKQ
1317	1610	DAO
1318	1611	DAP
1319	1612	DAPK1
1320	1613	DAPK3
1321	1615	DARS
1322	1616	DAXX
1323	1617	DAZ1
1324	1618	DAZL
1325	1620	BRINP1
1326	1621	DBH
1327	1622	DBI
1328	1623	DBIP2
1329	1624	DBIP1
1330	1627	DBN1
1331	1628	DBP
1332	1629	DBT
1333	1630	DCC
1334	1632	ECI1
1335	1633	DCK
1336	1634	DCN
1337	1635	DCTD
1338	1636	ACE
1339	1637	DCR
1340	1638	DCT
1341	1639	DCTN1
1342	1641	DCX
1343	1642	DDB1
1344	1643	DDB2
1345	1644	DDC
1346	1645	AKR1C1
1347	1646	AKR1C2
