GeneID	Symbol
1	1	A1BG
2	2	A2M
3	3	A2MP1
4	9	NAT1
5	10	NAT2
6	11	NATP
7	12	SERPINA3
8	13	AADAC
9	14	AAMP
10	15	AANAT
11	16	AARS
12	17	AAVS1
13	18	ABAT
14	19	ABCA1
15	20	ABCA2
16	21	ABCA3
17	22	ABCB7
18	23	ABCF1
19	24	ABCA4
20	25	ABL1
21	26	AOC1
22	27	ABL2
23	28	ABO
24	29	ABR
25	30	ACAA1
26	31	ACACA
27	32	ACACB
28	33	ACADL
29	34	ACADM
30	35	ACADS
31	36	ACADSB
32	37	ACADVL
33	38	ACAT1
34	39	ACAT2
35	40	ASIC2
36	41	ASIC1
37	43	ACHE
38	46	ACLS
39	47	ACLY
40	48	ACO1
41	49	ACR
42	50	ACO2
43	51	ACOX1
44	52	ACP1
45	53	ACP2
46	54	ACP5
47	55	ACPP
48	56	ACRV1
49	58	ACTA1
50	59	ACTA2
51	60	ACTB
52	62	ACTBP2
53	63	ACTBP3
54	64	ACTBP4
55	66	ACTBP6
56	67	ACTBP7
57	68	ACTBP8
58	69	ACTBP9
59	70	ACTC1
60	71	ACTG1
61	72	ACTG2
62	73	ACTG1P1
63	74	ACTG1P2
64	75	ACTG1P3
65	78	ACTG1P6
66	79	ACTG1P7
67	80	ACTG1P8
68	81	ACTN4
69	82	ACTG1P9
70	83	ACTG1P10
71	86	ACTL6A
72	87	ACTN1
73	88	ACTN2
74	89	ACTN3
75	90	ACVR1
76	91	ACVR1B
77	92	ACVR2A
78	93	ACVR2B
79	94	ACVRL1
80	95	ACY1
81	97	ACYP1
82	98	ACYP2
83	100	ADA
84	101	ADAM8
85	102	ADAM10
86	103	ADAR
87	104	ADARB1
88	105	ADARB2
89	106	ADCP1
90	107	ADCY1
91	108	ADCY2
92	109	ADCY3
93	111	ADCY5
94	112	ADCY6
95	113	ADCY7
96	114	ADCY8
97	115	ADCY9
98	116	ADCYAP1
99	117	ADCYAP1R1
100	118	ADD1
101	119	ADD2
102	120	ADD3
103	122	ADFN
104	123	PLIN2
105	124	ADH1A
106	125	ADH1B
107	126	ADH1C
108	127	ADH4
109	128	ADH5
110	130	ADH6
111	131	ADH7
112	132	ADK
113	133	ADM
114	134	ADORA1
115	135	ADORA2A
116	136	ADORA2B
117	137	ADORA2BP1
118	140	ADORA3
119	141	ADPRH
120	142	PARP1
121	143	PARP4
122	144	PARP1P1
123	145	PARP1P2
124	146	ADRA1D
125	147	ADRA1B
126	148	ADRA1A
127	150	ADRA2A
128	151	ADRA2B
129	152	ADRA2C
130	153	ADRB1
131	154	ADRB2
132	155	ADRB3
133	156	GRK2
134	157	GRK3
135	158	ADSL
136	159	ADSS
137	160	AP2A1
138	161	AP2A2
139	162	AP1B1
140	163	AP2B1
141	164	AP1G1
142	165	AEBP1
143	166	AES
144	167	CRISP1
145	169	AF8T
146	170	AFA
147	171	AFD1
148	172	AFG3L1P
149	173	AFM
150	174	AFP
151	175	AGA
152	176	ACAN
153	177	AGER
154	178	AGL
155	179	AGMX2
156	181	AGRP
157	182	JAG1
158	183	AGT
159	185	AGTR1
160	186	AGTR2
161	187	APLNR
162	189	AGXT
163	190	NR0B1
164	191	AHCY
165	192	AIC
166	196	AHR
167	197	AHSG
168	199	AIF1
169	201	AIH3
170	202	CRYBG1
171	203	AK1
172	204	AK2
173	205	AK4
174	206	AK4P1
175	207	AKT1
176	208	AKT2
177	210	ALAD
178	211	ALAS1
179	212	ALAS2
180	213	ALB
181	214	ALCAM
182	215	ABCD1
183	216	ALDH1A1
184	217	ALDH2
185	218	ALDH3A1
186	219	ALDH1B1
187	220	ALDH1A3
188	221	ALDH3B1
189	222	ALDH3B2
190	223	ALDH9A1
191	224	ALDH3A2
192	225	ABCD2
193	226	ALDOA
194	228	ALDOAP2
195	229	ALDOB
196	230	ALDOC
197	231	AKR1B1
198	236	AKR1B1P2
199	238	ALK
200	239	ALOX12
201	240	ALOX5
202	241	ALOX5AP
203	242	ALOX12B
204	243	ALOX12P1
205	245	ALOX12P2
206	246	ALOX15
207	247	ALOX15B
208	248	ALPI
209	249	ALPL
210	250	ALPP
211	251	ALPG
212	253	ALS3
213	255	ALS5
214	257	ALX3
215	258	AMBN
216	259	AMBP
217	261	AMCN
218	262	AMD1
219	263	AMD1P2
220	265	AMELX
221	266	AMELY
222	267	AMFR
223	268	AMH
224	269	AMHR2
225	270	AMPD1
226	271	AMPD2
227	272	AMPD3
228	273	AMPH
229	274	BIN1
230	275	AMT
231	276	AMY1A
232	277	AMY1B
233	278	AMY1C
234	279	AMY2A
235	280	AMY2B
236	281	AMYP1
237	282	ANCR
238	283	ANG
239	284	ANGPT1
240	285	ANGPT2
241	286	ANK1
242	287	ANK2
243	288	ANK3
244	289	ANOP1
245	290	ANPEP
246	291	SLC25A4
247	292	SLC25A5
248	293	SLC25A6
249	301	ANXA1
250	302	ANXA2
251	303	ANXA2P1
252	304	ANXA2P2
253	305	ANXA2P3
254	306	ANXA3
255	307	ANXA4
256	308	ANXA5
257	309	ANXA6
258	310	ANXA7
259	311	ANXA11
260	312	ANXA13
261	313	AOAH
262	314	AOC2
263	316	AOX1
264	317	APAF1
265	318	NUDT2
266	319	APOF
267	320	APBA1
268	321	APBA2
269	322	APBB1
270	323	APBB2
271	324	APC
272	325	APCS
273	326	AIRE
274	327	APEH
275	328	APEX1
276	329	BIRC2
277	330	BIRC3
278	331	XIAP
279	332	BIRC5
280	333	APLP1
281	334	APLP2
282	335	APOA1
283	336	APOA2
284	337	APOA4
285	338	APOB
286	339	APOBEC1
287	341	APOC1
288	342	APOC1P1
289	343	AQP8
290	344	APOC2
291	345	APOC3
292	346	APOC4
293	347	APOD
294	348	APOE
295	350	APOH
296	351	APP
297	353	APRT
298	354	KLK3
299	355	FAS
300	356	FASLG
301	357	SHROOM2
302	358	AQP1
303	359	AQP2
304	360	AQP3
305	361	AQP4
306	362	AQP5
307	363	AQP6
308	364	AQP7
309	366	AQP9
310	367	AR
311	368	ABCC6
312	369	ARAF
313	372	ARCN1
314	373	TRIM23
315	374	AREG
316	375	ARF1
317	377	ARF3
318	378	ARF4
319	379	ARL4D
320	380	ARF4P1
321	381	ARF5
322	382	ARF6
323	383	ARG1
324	384	ARG2
325	387	RHOA
326	388	RHOB
327	389	RHOC
328	390	RND3
329	391	RHOG
330	392	ARHGAP1
331	393	ARHGAP4
332	394	ARHGAP5
333	395	ARHGAP6
334	396	ARHGDIA
335	397	ARHGDIB
336	398	ARHGDIG
337	399	RHOH
338	400	ARL1
339	401	PHOX2A
340	402	ARL2
341	403	ARL3
342	405	ARNT
343	406	ARNTL
344	407	ARR3
345	408	ARRB1
346	409	ARRB2
347	410	ARSA
348	411	ARSB
349	412	STS
350	413	ARSC2
351	414	ARSD
352	415	ARSE
353	416	ARSF
354	417	ART1
355	418	ART2P
356	419	ART3
357	420	ART4
358	421	ARVCF
359	424	ARVD3
360	425	ARVD4
361	427	ASAH1
362	429	ASCL1
363	430	ASCL2
364	431	ASD1
365	432	ASGR1
366	433	ASGR2
367	434	ASIP
368	435	ASL
369	436	ASLP1
370	438	ASMT
371	439	ASNA1
372	440	ASNS
373	442	ASNSP2
374	443	ASPA
375	444	ASPH
376	445	ASS1
377	447	ASS1P2
378	449	ASS1P4
379	450	ASS1P5
380	451	ASS1P6
381	453	ASS1P8
382	454	ASS1P9
383	455	ASS1P10
384	459	ASS1P14
385	460	ASTN1
386	462	SERPINC1
387	463	ZFHX3
388	465	ATD
389	466	ATF1
390	467	ATF3
391	468	ATF4
392	469	ATF4P1
393	470	ATHS
394	471	ATIC
395	472	ATM
396	473	RERE
397	474	ATOH1
398	475	ATOX1
399	476	ATP1A1
400	477	ATP1A2
401	478	ATP1A3
402	479	ATP12A
403	480	ATP1A4
404	481	ATP1B1
405	482	ATP1B2
406	483	ATP1B3
407	484	ATP1B3P1
408	485	ATP1B1P1
409	486	FXYD2
410	487	ATP2A1
411	488	ATP2A2
412	489	ATP2A3
413	490	ATP2B1
414	491	ATP2B2
415	492	ATP2B3
416	493	ATP2B4
417	495	ATP4A
418	496	ATP4B
419	498	ATP5F1A
420	501	ALDH7A1
421	504	ATP5F1AP2
422	506	ATP5F1B
423	507	ATP5F1BP1
424	509	ATP5F1C
425	513	ATP5F1D
426	514	ATP5F1E
427	515	ATP5PB
428	516	ATP5MC1
429	517	ATP5MC2
430	518	ATP5MC3
431	520	ATP5MC2P1
432	521	ATP5ME
433	522	ATP5PF
434	523	ATP6V1A
435	525	ATP6V1B1
436	526	ATP6V1B2
437	527	ATP6V0C
438	528	ATP6V1C1
439	529	ATP6V1E1
440	533	ATP6V0B
441	534	ATP6V1G2
442	535	ATP6V0A1
443	537	ATP6AP1
444	538	ATP7A
445	539	ATP5PO
446	540	ATP7B
447	541	ALDH7A1P1
448	542	ALDH7A1P2
449	543	ALDH7A1P3
450	544	ALDH7A1P4
451	545	ATR
452	546	ATRX
453	547	KIF1A
454	549	AUH
455	550	AUP1
456	551	AVP
457	552	AVPR1A
458	553	AVPR1B
459	554	AVPR2
460	558	AXL
461	560	AZF1
462	563	AZGP1
463	566	AZU1
464	567	B2M
465	568	B2MR
466	570	BAAT
467	571	BACH1
468	572	BAD
469	573	BAG1
470	574	BAGE
471	575	ADGRB1
472	576	ADGRB2
473	577	ADGRB3
474	578	BAK1
475	579	NKX3-2
476	580	BARD1
477	581	BAX
478	582	BBS1
479	583	BBS2
480	585	BBS4
481	586	BCAT1
482	587	BCAT2
483	590	BCHE
484	593	BCKDHA
485	594	BCKDHB
486	595	CCND1
487	596	BCL2
488	597	BCL2A1
489	598	BCL2L1
490	599	BCL2L2
