y.test	Lable
GSM1900772	-1.32364186444441	0
GSM1900777	1.9949769644988	1
GSM1900781	-0.98381875205176	1
GSM1900789	-1.91227246453458	0
GSM1900798	0.133216303873461	1
GSM1900806	-2.17136758236222	0
GSM1900817	-0.794625578781207	1
GSM1900826	-1.6689820202362	0
GSM1900834	-1.72258131222532	0
GSM1900841	-1.70169002124577	1
GSM1900849	-0.86846988726147	0
GSM1900856	-1.24665124881565	0
GSM1900863	-1.61359681142851	0
GSM1900876	-0.802946163853749	1
GSM1900884	-2.31832649127249	1
GSM1900890	0.0984318209717717	1
GSM1900895	1.06869744819635	1
GSM1900905	-0.434990302718352	1
GSM1900912	-2.28471985768453	0
GSM1900922	1.60347040065622	1
GSM1900929	-2.71488379469179	0
GSM1900937	-0.605216868954774	1
GSM1900944	-2.92284052205887	0
GSM1900950	-0.872112740303222	0
