GSM1900772	GSM1900777	GSM1900789	GSM1900806	GSM1900817	GSM1900826	GSM1900834	GSM1900849	GSM1900856	GSM1900863	GSM1900890	GSM1900905	GSM1900912	GSM1900922	GSM1900929	GSM1900944	GSM1900950
Lable	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0
SPARCL1	3.53007	3.6471	3.22488	3.42452	3.11639	3.66747	3.18201	3.78747	2.91718	3.18875	3.61588	2.98278	3.0343	2.98743	3.37166	3.59272	3.45727
ACTG2	4.50716	4.8486	4.60468	4.38657	4.69971	4.79415	4.02462	5.33286	4.71146	5.05628	4.02473	4.55262	4.57122	4.34179	4.93781	4.79422	4.52148
IGFBP5	3.39306	4.23125	3.64467	3.96025	3.66655	3.95369	4.07924	3.97348	3.48349	4.12094	4.03469	3.63598	3.82083	3.54762	3.80085	4.07894	4.0168
APOD	4.95975	4.57818	3.85304	4.82097	4.46813	4.4385	4.80308	4.99883	4.32004	4.02982	4.13446	4.17544	3.98086	3.59916	4.86854	3.80244	4.15958
XAGE2	3.38144	3.96045	3.13284	3.63837	3.61956	3.4892	3.75509	4.36249	3.6439	3.79353	3.52973	3.52055	3.54032	3.50577	3.81439	3.54179	3.94413
SPP1	4.23425	3.97365	3.24514	3.69628	4.12407	3.12069	4.94117	3.02854	3.70501	2.94408	3.8809	4.12238	3.82069	3.54982	3.4228	3.97401	3.9247
CHRDL1	3.60685	4.42404	3.58771	3.51584	3.72696	3.4491	3.25051	3.26015	3.4835	3.66561	3.43585	3.62062	3.71164	3.67073	3.8984	3.45407	3.69091
DKK1	2.79195	2.26605	2.56497	2.48552	2.78288	2.65181	2.43194	3.44922	2.53994	3.1211	2.37958	2.55417	2.54201	2.51992	2.56251	3.11142	2.59643
MGP	3.21529	2.92925	2.88508	2.69659	2.80229	2.77163	3.27273	3.1496	3.16618	3.0324	2.83	3.2581	2.88244	3.29501	2.96516	3.36731	3.00202
LUM	2.34401	2.7679	2.27249	2.51693	2.49242	2.85058	2.82641	2.72693	2.40314	2.84571	2.44384	2.65355	2.60055	2.34732	2.45421	2.98703	3.45271
DCN	3.0995	4.01012	3.32921	2.92183	2.92382	2.78141	3.1611	4.41651	3.09784	3.31578	2.95376	3.21982	2.80805	2.54338	2.87161	3.16343	2.8415
KRT6A	4.82294	4.36033	4.83216	4.67986	4.54997	4.95948	4.79157	4.67368	4.48527	4.82466	5.32146	4.28049	4.65717	4.07086	4.5803	4.85017	4.76984
MFAP5	3.75584	5.0693	3.87247	3.37638	3.73622	4.37482	4.36465	4.92596	3.71731	4.5336	3.48581	4.11907	4.20852	4.23072	4.40411	3.98852	3.41677
CCDC80	2.67506	3.67398	3.43856	2.81461	2.71919	2.95438	2.92229	3.3122	3.14222	3.25029	2.66125	2.91378	2.97735	2.52852	2.8975	3.54296	3.17917
ACTA2	5.96151	5.83134	4.72199	5.80863	6.19973	5.79337	6.36519	5.58833	5.84878	5.60587	5.32658	6.32481	6.04145	6.05217	6.20585	5.66385	5.9228
PRG2	4.70737	4.74603	4.68379	4.40081	4.82208	4.40239	4.83714	4.65391	4.86346	4.22722	4.44261	4.16483	4.42293	4.1995	4.4796	4.36464	4.76126
RBP1	4.40435	4.48886	3.90477	4.33757	4.23961	3.96212	3.90448	4.74364	3.87035	4.59224	4.27317	4.31631	4.66106	4.43864	4.2097	4.20565	4.21813
FERMT2	2.68614	3.58572	3.28199	2.94948	3.02671	2.90584	2.91103	3.24095	2.81228	3.33018	2.81204	2.78503	2.53218	3.12843	3.04312	3.47764	3.59554
DSG2	3.24329	3.211	2.76407	2.74672	3.08491	2.80064	2.9021	3.0971	2.97463	2.6094	2.88222	2.68586	3.12158	2.98462	2.90411	2.87023	3.03137
S100A12	10.6917	10.9479	10.3547	10.646	11.4098	10.1773	10.4927	10.7563	10.7877	10.5387	10.6139	10.7048	10.7414	10.9232	10.5164	10.2509	10.5535
DEFA1	11.7595	11.4303	11.6413	11.497	11.3772	11.6861	11.7352	11.2802	11.5522	11.0197	11.222	11.3202	11.7889	10.8879	11.3916	10.5599	11.1402
DEFA3	11.7595	11.4303	11.6413	11.497	11.3772	11.6861	11.7352	11.2802	11.5522	11.0197	11.222	11.3202	11.7889	10.8879	11.3916	10.5599	11.1402
DEFA1B	11.7595	11.4303	11.6413	11.497	11.3772	11.6861	11.7352	11.2802	11.5522	11.0197	11.222	11.3202	11.7889	10.8879	11.3916	10.5599	11.1402
MMP2	3.94543	3.87234	3.50381	3.52776	3.75836	3.93194	4.17118	4.29261	3.7388	4.16966	3.57181	3.64955	3.78921	4.16768	4.06952	3.79751	4.22073
SERPINB2	4.88079	5.24697	5.09223	4.89803	5.81512	4.41555	4.62714	5.32372	4.33086	4.78209	5.02363	4.7327	4.9762	4.95357	4.27	4.88198	4.85532
C1S	3.01621	3.69368	3.02862	3.08801	3.27781	2.96732	3.25422	3.45392	2.73589	3.2759	2.92106	2.99256	2.93344	3.18307	2.96076	2.84138	3.02511
SELL	11.2122	11.4666	10.7021	11.2024	11.3842	11.247	11.1423	10.8651	11.1379	11.1952	11.2086	11.019	11.1796	10.9907	11.2336	11.1758	11.0368
PRUNE2	3.34775	2.97425	2.9906	3.00562	3.07874	2.86259	3.21498	3.68784	2.97963	2.87901	3.01919	3.27992	2.98048	3.05356	3.45641	3.47815	3.22153
THY1	5.02852	4.75226	4.65163	4.36269	4.86348	4.41783	4.85269	4.93929	4.18289	4.34506	4.37146	4.50177	4.53829	4.62031	5.14631	3.96994	4.80032
ABI3BP	3.68782	5.05429	4.5196	4.05471	3.91443	3.76243	4.05332	3.89334	4.36157	4.58873	4.02461	4.15317	3.66507	4.47165	4.3073	4.00091	4.13124
TNC	3.98819	4.16548	3.65295	4.08813	4.0618	3.90576	4.03877	4.52911	4.09325	3.96471	4.2949	4.0985	3.8742	4.22587	4.04929	3.94198	3.87649
SELENOP	3.2313	3.45246	3.54974	3.12062	3.35835	3.47244	3.27072	4.31657	3.42798	3.21934	3.74571	3.44606	3.52449	3.76504	3.03584	3.10742	4.03758
CFH	3.56204	4.06422	3.52619	4.03292	3.87902	4.52797	4.32967	4.05959	4.17155	3.63077	3.81727	4.44798	3.77861	4.56642	3.54699	3.97642	4.62172
EFEMP1	4.16117	4.03741	3.24451	2.91366	3.51705	3.11759	3.49214	4.59236	3.43875	4.60021	4.03842	4.02178	3.86604	3.98351	4.00718	3.91617	3.71734
CSH1	5.72808	6.11835	5.31248	5.51034	6.37463	6.51334	5.21657	8.0172	5.74442	7.24752	5.56499	5.35754	8.55055	5.7793	6.3652	5.66125	5.73022
