GSM1900772	GSM1900777	GSM1900789	GSM1900806	GSM1900817	GSM1900826	GSM1900834	GSM1900849	GSM1900856	GSM1900863	GSM1900890	GSM1900905	GSM1900912	GSM1900922	GSM1900929	GSM1900944	GSM1900950
CSH2	5.72808	6.11835	5.31248	5.51034	6.37463	6.51334	5.21657	8.0172	5.74442	7.24752	5.56499	5.35754	8.55055	5.7793	6.3652	5.66125	5.73022
CSHL1	5.72808	6.11835	5.31248	5.51034	6.37463	6.51334	5.21657	8.0172	5.74442	7.24752	5.56499	5.35754	8.55055	5.7793	6.3652	5.66125	5.73022
GH1	5.72808	6.11835	5.31248	5.51034	6.37463	6.51334	5.21657	8.0172	5.74442	7.24752	5.56499	5.35754	8.55055	5.7793	6.3652	5.66125	5.73022
GH2	5.72808	6.11835	5.31248	5.51034	6.37463	6.51334	5.21657	8.0172	5.74442	7.24752	5.56499	5.35754	8.55055	5.7793	6.3652	5.66125	5.73022
ALAS2	12.0727	9.36303	12.1822	11.3522	11.8858	11.527	11.931	10.7404	10.9871	11.5993	10.4398	11.8288	11.8413	11.3809	11.8394	10.9745	11.9261
COL6A3	3.97143	4.28312	3.99311	4.1661	4.02225	3.91991	3.89678	4.51527	4.00044	4.10638	3.79814	4.0091	3.70946	3.61027	4.15054	3.81386	3.90334
IGF1	2.68569	4.08205	3.06762	2.75	3.07403	2.89363	2.8246	2.80952	3.10337	2.87183	2.95683	2.78659	2.56185	2.99711	3.33284	2.70209	3.11963
PSG1	3.5663	4.61651	3.53254	3.65894	3.93862	3.66053	3.68948	4.17509	3.37647	4.24668	3.83998	3.56658	4.71661	3.4755	3.95892	3.41692	3.62931
PSG2	3.5663	4.61651	3.53254	3.65894	3.93862	3.66053	3.68948	4.17509	3.37647	4.24668	3.83998	3.56658	4.71661	3.4755	3.95892	3.41692	3.62931
PSG3	3.5663	4.61651	3.53254	3.65894	3.93862	3.66053	3.68948	4.17509	3.37647	4.24668	3.83998	3.56658	4.71661	3.4755	3.95892	3.41692	3.62931
PSG4	3.5663	4.61651	3.53254	3.65894	3.93862	3.66053	3.68948	4.17509	3.37647	4.24668	3.83998	3.56658	4.71661	3.4755	3.95892	3.41692	3.62931
PSG5	3.5663	4.61651	3.53254	3.65894	3.93862	3.66053	3.68948	4.17509	3.37647	4.24668	3.83998	3.56658	4.71661	3.4755	3.95892	3.41692	3.62931
PSG6	3.5663	4.61651	3.53254	3.65894	3.93862	3.66053	3.68948	4.17509	3.37647	4.24668	3.83998	3.56658	4.71661	3.4755	3.95892	3.41692	3.62931
PSG7	3.5663	4.61651	3.53254	3.65894	3.93862	3.66053	3.68948	4.17509	3.37647	4.24668	3.83998	3.56658	4.71661	3.4755	3.95892	3.41692	3.62931
PSG9	3.5663	4.61651	3.53254	3.65894	3.93862	3.66053	3.68948	4.17509	3.37647	4.24668	3.83998	3.56658	4.71661	3.4755	3.95892	3.41692	3.62931
PSG11	3.5663	4.61651	3.53254	3.65894	3.93862	3.66053	3.68948	4.17509	3.37647	4.24668	3.83998	3.56658	4.71661	3.4755	3.95892	3.41692	3.62931
PSG8	3.5663	4.61651	3.53254	3.65894	3.93862	3.66053	3.68948	4.17509	3.37647	4.24668	3.83998	3.56658	4.71661	3.4755	3.95892	3.41692	3.62931
PSG10P	3.5663	4.61651	3.53254	3.65894	3.93862	3.66053	3.68948	4.17509	3.37647	4.24668	3.83998	3.56658	4.71661	3.4755	3.95892	3.41692	3.62931
ENPP1	3.67258	3.99433	3.88717	3.82304	2.64181	2.97698	3.38534	3.60316	3.26644	3.47787	3.26648	3.42425	3.2759	3.41209	2.88179	3.58207	3.20913
OSMR	2.65013	3.24741	3.44808	2.3606	2.69973	2.99268	2.71796	2.5787	2.9035	2.75632	2.48853	2.69996	2.39201	2.71593	3.01183	2.64484	2.4157
IL7R	10.0662	8.89724	10.3641	10.5366	8.98045	10.6021	10.459	10.6324	10.3783	9.94663	9.98021	10.1739	10.3779	10.3199	9.72311	10.1283	9.95413
NFE2	9.98702	10.0114	10.1148	9.50761	10.2527	9.92724	9.85612	8.71236	10.1269	10.3779	9.78842	10.2693	10.01	9.77031	10.0579	10.0112	10.2267
UPK1B	3.82326	3.64851	3.71936	3.74722	3.68225	3.62137	3.78126	3.09479	3.01135	3.34351	3.29416	3.95995	3.05693	4.15108	3.31469	3.83577	3.38554
ANTXR1	3.3415	4.17507	3.65891	3.567	3.64135	3.32826	3.76579	4.647	3.61314	4.35214	4.07067	3.93573	3.23634	3.66281	4.12565	4.05082	3.65743
AHSP	10.4784	8.15059	11.7614	10.0246	10.4812	10.4752	10.4583	9.93393	9.89989	9.32925	8.17815	10.332	10.5252	10.0345	10.2302	9.54038	10.9857
KRT8	3.67598	4.78293	3.92748	4.43789	5.22993	4.93862	4.74468	4.38589	4.41878	4.61778	4.38241	3.85464	4.41607	4.80644	4.21134	5.10753	3.8233
VNN2	11.4438	11.8669	10.7356	11.3091	11.4911	11.4513	11.0341	10.901	11.5187	11.2464	11.4355	11.3514	11.4268	11.7921	11.2034	11.0942	11.2347
PAPPA2	4.39492	4.08305	4.30056	4.31116	4.22587	3.80131	4.23936	4.5992	4.34095	4.53745	3.9472	3.91065	4.23953	4.26344	4.24681	4.30301	4.21982
MFAP4	4.38824	4.39288	3.89242	3.89334	3.96051	4.32101	3.63372	4.39411	3.9266	4.25997	4.08874	4.06364	4.35451	4.25554	3.80613	3.78949	3.49645
DSP	3.5581	4.44211	3.92395	3.90309	3.7507	3.46639	4.13999	4.12422	3.86236	4.03855	4.09781	3.8047	3.62907	4.0366	3.52901	3.65138	4.21617
PLS3	3.08933	3.41629	3.34816	2.90526	2.49463	2.77689	2.9043	3.77012	2.93248	3.52772	2.90181	2.9115	3.0482	3.16423	3.4913	3.0678	2.76837
IGFBP1	5.9424	6.20988	5.02091	5.42196	5.86911	5.43277	5.62565	5.81901	5.50996	5.49787	5.63664	5.76587	5.76564	5.72484	6.28331	5.54418	5.88475
FBN1	3.50026	4.02329	3.45695	3.36905	3.41136	2.94387	3.19973	3.51652	3.08517	3.30269	3.25423	3.17695	3.15529	3.25729	3.40389	3.33869	3.4081
SH3D19	3.31585	3.97999	2.88306	2.95266	3.75694	3.04039	3.3164	4.61521	3.72645	3.46355	3.56766	3.02164	3.19071	3.52502	3.55603	3.17259	3.14304
COL12A1	3.50065	3.93121	3.05925	3.14064	3.13083	3.30462	3.40226	4.00149	3.42034	3.75469	2.98584	3.31183	3.50777	3.4613	3.61495	3.10988	3.56767
SNAI2	4.13767	4.71811	3.86263	4.06812	4.07113	3.91788	3.8222	4.34062	3.6555	3.95927	4.19979	4.27425	4.30642	4.30455	4.56418	4.2674	3.64543
LAMA4	3.62583	3.8688	3.15943	3.12581	3.727	3.73668	3.40502	4.01203	3.52087	3.58949	3.72452	3.69182	3.65766	3.95123	3.75044	3.53223	3.62585
CAV1	3.62988	3.69611	4.46836	3.71056	3.55063	3.48293	3.78329	4.56143	4.10003	3.57819	4.08391	3.77981	3.73418	3.86839	3.5165	3.80072	3.81633
SLC4A1	10.9957	8.17084	11.6661	10.1771	10.3107	10.3661	10.8011	9.09288	10.1756	10.3306	8.58526	10.6224	10.8288	9.28592	10.7176	10.2401	10.9186
DDR2	3.35562	4.37699	3.74609	3.09418	3.16763	2.65147	2.68175	3.92582	2.83545	2.47053	2.52826	3.04518	2.95905	3.20779	3.06701	2.73537	2.5952
CA1	10.3498	8.49789	11.0028	10.3173	10.8129	10.2173	10.8866	10.3539	10.242	9.76119	8.14709	10.5511	10.67	10.4765	9.93586	9.89545	10.8031
PALMD	3.79907	4.14417	4.03855	3.42973	3.89886	3.44253	3.52336	4.50294	3.52329	3.87572	3.49764	3.87778	4.2676	3.42789	4.15498	4.3414	3.91636
CRYAB	3.28608	3.45706	3.35433	3.20832	3.52574	3.20161	3.39868	3.49638	3.48164	4.02716	3.42354	2.85197	3.10951	3.13555	3.87856	3.34283	3.36876
PARVA	3.28768	4.14574	3.54382	3.69619	3.5802	3.36712	3.70663	4.94497	3.36428	3.4721	3.55042	3.57945	3.61495	2.94989	4.10799	3.95433	3.68715
MAL2	3.27668	4.51108	3.2741	4.02345	3.41226	3.40554	3.23877	3.25161	3.86306	3.3792	3.52324	3.24698	3.11156	3.96515	3.75035	3.77157	3.59248
HSPB6	4.52073	4.67742	4.26299	4.87876	5.07026	4.02153	4.50176	4.41159	4.59598	4.39301	4.40597	4.28092	4.17512	4.52409	5.09033	4.7215	4.86398
HSD11B1	3.86243	3.7904	3.55184	3.62866	3.57258	3.64214	3.87412	3.08174	3.99567	3.95899	3.68892	4.02436	3.38726	3.92822	3.71362	3.63743	3.28019
KRT19	4.42271	4.82719	4.3365	4.65585	4.74245	3.92105	4.34915	5.54615	5.04753	5.00441	4.72505	4.26128	4.59805	5.02919	5.03344	4.7146	4.13626
SERPINE2	3.74006	3.65041	4.74665	2.96502	4.16651	3.9989	4.01034	4.03592	3.94793	3.98857	4.09483	3.86557	3.86062	3.7483	4.09464	3.50763	3.75536
FAP	2.57665	3.27573	2.58848	2.59446	2.56236	2.79378	2.32967	2.9131	2.61719	2.99198	2.5323	2.38685	2.8685	2.43184	2.9251	2.94663	3.30722
CXCR1	10.6673	11.218	9.34341	10.2585	10.9683	10.6322	10.7287	9.53133	10.6953	10.9191	10.9059	10.5994	10.3652	10.7041	10.8632	10.7474	10.6364
GNG12	3.35628	4.00602	3.12543	3.47313	2.92926	3.2285	3.1788	4.53122	3.43503	3.66302	3.6419	3.09451	3.82198	3.31737	3.06808	3.45745	3.76454
PRL	2.66079	4.39805	3.26727	3.55644	3.29377	3.3804	2.83883	3.40668	2.90311	3.45214	3.19985	3.5437	3.15988	3.8484	3.19067	3.4655	3.75059
XAGE3	4.57254	4.57564	4.18268	4.06991	3.90435	4.53869	4.14035	4.38036	4.43725	5.0435	4.59111	4.32295	4.08903	4.22389	4.76609	3.93357	4.49023
MIR223	10.0683	10.0409	8.76269	9.80591	10.4498	10.1153	9.73805	8.67319	10.0997	10.139	10.1298	10.0345	10.097	9.99933	9.4695	10.0977	9.69583
SLC14A1	10.055	6.75128	10.4704	9.34824	9.21672	9.44118	9.44097	8.5933	9.58168	8.62908	7.94886	9.68029	10.0603	9.12502	9.53176	8.91315	10.5723
CXCR2	11.2111	11.6359	10.2931	10.9965	11.3774	11.2786	11.2992	10.1421	11.1905	11.4369	11.356	11.1727	11.1454	11.2003	11.388	11.294	10.9983
RND3	3.71514	3.91541	3.72541	3.12543	3.36876	3.66065	3.76764	3.65506	3.5944	4.55293	3.5504	3.38404	4.19793	3.94377	3.46413	3.972	3.42566
BGN	4.35107	4.97127	4.93115	4.91136	4.6909	4.68522	4.66894	4.62537	4.56367	4.58321	4.51932	5.11201	4.67633	4.84229	4.42812	4.65646	4.58044
MAP1B	4.3912	4.65107	3.36858	4.00895	4.26046	3.85432	4.10759	4.64935	3.82416	4.72055	4.16741	3.67251	4.21697	4.36532	4.40669	4.17628	4.65919
KRT5	5.75396	6.1464	5.47859	5.69567	5.83169	5.44226	5.80574	6.05451	5.72931	5.8968	5.67649	5.45692	5.56007	5.54066	6.0114	5.3893	5.55135
KRT6B	5.75396	6.1464	5.47859	5.69567	5.83169	5.44226	5.80574	6.05451	5.72931	5.8968	5.67649	5.45692	5.56007	5.54066	6.0114	5.3893	5.55135
KRT6C	5.75396	6.1464	5.47859	5.69567	5.83169	5.44226	5.80574	6.05451	5.72931	5.8968	5.67649	5.45692	5.56007	5.54066	6.0114	5.3893	5.55135
RAI14	3.63244	3.48827	3.07503	2.74364	3.25064	2.92348	3.08268	3.1026	3.22826	3.67182	3.55881	2.86011	2.91202	2.99381	3.56166	3.39838	3.23499
OMD	3.23799	3.74693	3.87119	3.7509	3.59592	3.14919	2.94765	3.57591	2.80162	2.92619	3.22461	2.65864	3.28448	2.80739	3.22836	3.35552	3.69536
POSTN	3.01734	3.4874	3.01727	2.63682	2.96146	2.80792	3.09714	3.9738	3.15477	3.12811	3.19808	3.07681	3.37393	2.75056	3.26736	3.08935	2.88732
FABP3	4.46492	4.57587	4.3793	4.37573	4.00654	4.68444	4.78281	4.79436	4.58312	4.38191	4.49049	4.75613	4.57754	4.33082	4.8489	4.27098	4.76107
TMEM45A	3.01888	3.77294	2.96951	3.10818	3.0548	2.51128	3.09919	3.1736	2.9753	2.97888	2.89474	2.96661	2.96636	2.70277	2.76259	3.3291	2.77931
SERPINA3	3.70211	3.73257	3.63665	4.16349	3.72684	3.82799	4.2861	4.14296	3.93559	3.7578	3.26188	3.94086	3.36704	3.83028	4.18157	3.76804	3.6071
TNS4	5.00315	5.27547	4.89614	4.94256	4.99334	4.63718	4.67346	5.09497	4.434	4.77623	4.72076	4.56045	5.03663	4.57312	4.89003	4.78938	4.97658
PRLR	3.70788	3.8537	3.02818	2.93906	3.20024	3.81709	3.32201	3.58943	3.4165	3.11068	3.22276	3.14784	3.55875	3.38838	3.60762	3.43651	3.71105
GJA5	2.46609	4.37459	2.32997	2.46137	2.70868	2.66704	2.66014	3.45563	3.00303	2.70456	3.63825	2.7674	2.83397	3.35395	2.69208	3.58037	2.46968
PDGFRA	4.37775	3.93652	3.83113	3.55212	4.05789	3.18633	3.64491	4.20322	4.06786	3.95623	3.51934	3.76611	3.84536	3.29718	3.89346	3.52197	3.69026
SERPINE1	4.01135	4.79407	4.74662	4.196	4.87636	4.38196	4.27108	3.75069	4.48724	4.26388	4.54249	4.32301	4.91715	4.74358	4.73355	4.05626	4.49694
DST	3.90308	4.21032	3.79187	3.89297	3.945	4.1708	3.88646	4.42804	3.738	4.08291	3.97924	3.65211	3.89743	4.08971	4.11044	4.06427	4.04362
SMARCA1	2.84242	3.78458	2.99834	3.42422	3.34404	3.07849	3.05465	3.56083	3.12155	3.15012	2.95593	2.81545	2.59733	3.00462	3.47495	3.19299	3.12556
MAOB	3.43325	3.41037	3.35842	3.02261	3.23562	2.90922	3.07043	3.23872	3.22255	3.36179	3.43432	3.30341	3.59779	3.92249	3.53492	3.30772	3.41127
MGAM	9.51618	10.5429	8.70214	9.42273	10.3821	9.58101	9.2945	8.69679	9.61869	9.75743	9.91075	8.93357	9.52353	10.0864	9.67369	9.34248	9.34991
CALD1	3.40154	4.44153	3.59378	3.53819	4.34425	3.75375	4.24659	4.36503	4.05908	4.02965	3.3946	3.95472	4.46999	3.43358	3.1881	4.30449	5.02438
ADGRE3	9.91054	10.1033	8.7711	10.0515	10.1867	10.153	10.0763	8.56923	10.0105	10.3171	10.2642	9.97503	10.2481	10.2804	9.79519	10.2302	9.56361
GJA1	3.98209	4.95449	4.68297	4.37117	4.12191	4.54055	4.11045	4.59798	5.08204	4.64556	4.21414	4.15514	4.60209	3.72252	4.25905	4.9424	4.07676
GREB1	4.04589	4.28166	3.75566	3.90644	3.97961	3.9389	3.86323	4.20512	4.09552	4.00483	3.92514	3.97718	3.97377	4.11368	4.01174	3.61276	4.0268
MFGE8	4.67525	4.68136	4.46117	4.47457	4.37318	4.28354	4.47797	4.89256	4.68598	4.42453	4.1884	4.84388	4.41199	4.53385	4.78869	4.51656	4.30802
CD3G	9.43375	7.26878	9.77338	9.88751	8.4972	9.5507	9.69657	9.65677	9.66124	9.02295	9.83598	9.4832	9.33834	9.1734	9.15489	9.57903	9.24756
IGFBP4	5.98129	6.41041	6.03854	5.9658	6.13971	6.1687	6.30219	5.30627	6.13353	5.83604	6.38517	5.70088	6.1801	5.83156	5.67438	5.82887	5.903
PAPPA	4.136	3.88992	3.72576	3.78345	3.83884	3.96415	3.54022	4.34863	4.15905	3.70011	3.54518	4.0365	3.87738	3.83381	4.00415	3.83688	4.24102
LY6G6C	5.37337	5.5679	4.14284	4.8267	5.00328	4.44386	4.53597	5.23822	5.13975	5.33523	5.14593	4.62854	4.90339	4.92437	5.16694	3.99002	4.63488
KRT7	5.19607	5.94721	4.54328	4.73297	4.89848	3.6833	4.80379	4.10442	5.02671	4.77754	4.84834	4.75216	4.77031	5.04044	5.36912	4.95703	4.43054
ERRFI1	3.4864	3.94238	2.98	3.61212	3.75137	3.60904	3.91564	4.26582	3.78195	4.19738	3.69706	3.8678	3.38786	3.58516	3.41337	3.85979	3.89878
AQP9	11.1641	11.5618	10.0592	10.9534	11.6504	11.0982	11.0981	9.98659	11.0877	11.2976	11.2595	11.1341	11.1967	11.3018	11.2051	10.7842	10.9174
SPOCK1	4.54229	4.66116	4.04492	4.30476	4.02129	3.8428	4.17767	4.66004	4.13675	4.36587	3.85501	3.14866	4.5143	4.31668	4.18073	4.25677	4.04448
LAMC1	3.90462	4.27692	4.17095	3.49625	3.81876	3.58813	3.88423	4.37364	3.57984	3.69731	3.91945	3.95565	3.51496	4.07122	3.61329	4.01391	3.86282
TAGLN	5.44855	5.03503	4.74885	4.95354	4.65124	5.20588	4.3249	5.33022	4.87273	5.00126	4.43898	4.91365	5.15418	5.17945	4.94357	5.11286	4.65183
DSC3	2.9884	3.59315	3.4183	2.64038	2.88626	3.13249	3.28959	3.71725	3.18033	3.6939	2.91543	3.28055	3.59173	3.5181	3.90489	3.73118	4.00416
SLCO2A1	4.45299	4.29046	4.29608	4.56646	4.62492	4.45521	4.64711	3.97166	3.97575	4.86808	4.14404	4.2142	4.67488	3.97137	4.26215	4.37985	4.94253
ITGB6	3.40339	3.55686	3.34345	3.48724	3.40644	3.76538	3.14507	4.00229	3.94408	3.80673	3.679	3.58036	3.47741	3.48657	3.51807	3.26943	3.9579
FSTL1	5.11063	5.20626	3.86086	4.21707	4.60815	3.78993	4.9241	3.48782	4.41522	5.16434	4.27033	4.38815	4.85928	4.01429	4.67245	4.99241	5.62383
GYPA	7.97495	5.61339	11.5729	7.40555	8.21623	7.6206	8.50917	7.50936	7.84064	6.67206	7.3347	8.79678	8.26758	7.12389	7.27608	7.93985	8.98683
LIFR	2.74309	3.42412	2.64583	2.80405	2.66087	2.32392	2.95258	3.18035	2.62426	3.08347	3.02576	3.19882	2.51339	2.6067	2.96239	2.9022	3.12758
AHNAK2	4.2996	4.82037	4.2197	4.23665	3.83117	3.79519	4.15126	4.2962	4.0378	3.68456	4.30991	3.63395	3.88054	4.42889	4.1742	3.27204	4.34149
HSD3B1	4.56249	4.56067	3.80117	4.00034	4.56069	4.14191	4.16901	3.94001	4.05851	3.75316	4.08961	3.99712	4.34801	3.99379	4.53379	4.14209	4.25749
TFAP2A	3.74772	4.21515	3.91221	3.65628	3.80575	3.69204	3.62209	4.17124	4.04659	3.40757	4.24593	3.27971	3.88929	3.72736	3.9508	3.6159	4.0606
SYNPO2	4.22803	3.52261	3.79682	3.75904	3.5394	3.401	3.7155	4.16745	3.92266	4.01284	3.82457	3.54479	4.02192	3.81815	3.7957	3.61355	3.5831
RGS18	8.83892	9.55545	8.76897	8.52444	9.49251	8.76574	8.8139	8.45946	9.17727	7.45543	8.61618	9.54623	9.23085	9.47776	8.12653	9.06358	9.52538
ITGB8	3.68585	3.39791	3.8965	4.02011	3.47696	3.62439	2.83568	3.68588	3.84534	3.81024	3.49156	3.59236	3.39195	3.39216	3.62646	3.17226	3.65974
TMEM71	8.24909	9.57303	8.4424	8.91284	9.37004	8.98156	8.78526	8.78221	9.09727	8.86007	9.0481	9.17254	9.05624	9.32265	8.77604	9.01119	8.64938
OGN	3.91184	4.40797	4.49283	3.86795	4.31932	3.6231	4.03892	3.94991	3.36955	3.71256	4.14338	3.80592	3.58212	3.91106	3.73766	3.72144	4.43427
C1R	4.80454	5.14727	4.16365	4.10336	4.39701	4.76881	4.46923	4.74278	4.39232	4.78745	4.45388	4.36318	4.43332	4.89006	4.84114	4.51133	4.19371
FBLN1	4.36522	3.89966	4.94991	3.88573	4.12651	4.23209	4.82589	5.11493	4.68136	4.56654	4.62859	4.47605	4.09239	3.99454	4.53969	3.9521	3.5429
WNT5A	3.85997	3.41436	3.28668	3.14222	3.7761	3.49977	3.26164	4.18302	3.09154	3.11343	3.43891	3.59626	2.80878	3.75676	3.2485	3.12392	3.25123
PPIC	3.55447	4.18545	3.05396	4.08751	4.29164	3.67771	3.96595	4.92445	4.01281	4.05986	4.04762	4.03299	3.83107	3.62276	3.26092	3.96361	4.43716
TCIM	3.39931	4.42826	3.49012	3.26827	3.31755	3.71188	3.07812	4.04095	3.38727	3.5046	3.87826	3.96523	3.84028	3.82163	3.8508	3.64975	3.5798
SLC25A37	11.1339	11.0625	11.1787	10.6127	11.4124	10.5936	10.7157	10.0985	10.8494	10.8578	10.6609	11.217	11.0564	10.8821	11.0515	10.5199	11.0586
EBI3	5.0806	4.50525	4.26708	5.29543	4.28369	4.72783	4.9876	4.11233	4.99506	4.97374	4.4827	5.09313	5.1453	5.33977	4.78296	5.11813	5.5841
PROK2	11.2331	11.8945	10.7716	11.2168	12.2397	11.449	11.4071	10.2798	11.6095	11.1662	11.8814	11.3897	11.3638	11.7502	11.7684	11.1258	11.2576
CYTIP	9.41745	9.76777	9.01323	9.57143	9.51936	9.54679	9.50115	9.15566	9.55002	9.29944	9.49131	9.68447	9.45035	9.48254	9.55688	9.45999	9.33178
GPNMB	3.76303	4.62748	4.06359	3.08621	3.94518	3.56033	3.43046	3.34938	3.94858	3.92246	3.8127	3.32807	3.43679	3.95753	4.49328	3.7155	3.51096
