"","V1"
"1","PF4V1"
"2","CD177"
"3","FADS2"
"4","VNN1"
"5","SIGLEC17P"
"6","KIR3DL1"
"7","ANGPT1"
"8","C19orf33"
"9","AVPR1A"
"10","PCDHGA12"
"11","MIR601"
"12","TRAV4"
"13","PCDHGB5"
"14","MIR3151"
"15","ZNF284"
"16","ZNF33B"
"17","LTV1"
"18","PLD4"
"19","CLIC3"
"20","ASRGL1"
"21","MIR4266"
"22","NVL"
"23","STAT4"
"24","MFSD4A"
"25","ZNF836"
"26","CDR2L"
"27","HSP90B1"
"28","SYT15"
"29","PRG1"
"30","TARS"
"31","STK39"
"32","ZNF500"
"33","PXDNL"
"34","MCM6"
"35","MCM2"
"36","CDKN2A.DT"
"37","SF3A3"
"38","MIR106B"
"39","FBXO31"
"40","MAP3K9"
"41","NLGN3"
"42","ZNF649.AS1"
"43","PLEC"
"44","RIOK1"
"45","HTR2A"
"46","SGSH"
"47","SUOX"
"48","SPRTN"
"49","TCEA1"
"50","FASTKD5"
"51","TMEM109"
"52","DBR1"
"53","LMNB2"
"54","PIH1D2"
"55","ZNF280C"
"56","EIF4A3"
"57","ACADVL"
"58","ATP8A2"
"59","POLR3K"
"60","DGKI"
"61","UTP4"
"62","SAP30L"
"63","CRLF3"
"64","SLC12A4"
"65","EXOSC10"
"66","EIF3D"
"67","PRPS2"
"68","ASPSCR1"
"69","VAMP2"
"70","PRKAG1"
"71","CLASRP"
"72","YTHDF2"
"73","PAICS"
"74","LRRC41"
"75","GGNBP2"
"76","GOLGA7"
"77","MIR3117"
"78","GLYR1"
