"","V1"
"1","PF4V1"
"2","CD177"
"3","FADS2"
"4","C19orf33"
"5","PCDHGA12"
"6","TRAV4"
"7","ZNF284"
"8","ZNF33B"
"9","ASRGL1"
"10","MFSD4A"
"11","CDR2L"
"12","SYT15"
"13","PRG1"
"14","TARS"
"15","CDKN2A.DT"
"16","NLGN3"
"17","ZNF649.AS1"
"18","PLEC"
"19","HTR2A"
"20","SGSH"
"21","ACADVL"
"22","CRLF3"
"23","CLASRP"
"24","YTHDF2"
"25","GOLGA7"
"26","MIR3117"
"27","GLYR1"
