"","V1"
"1","PF4V1"
"2","CD177"
"3","FADS2"
"4","VNN1"
"5","ANGPT1"
"6","C19orf33"
"7","PCDHGA12"
"8","MIR601"
"9","TRAV4"
"10","PCDHGB5"
"11","MED12L"
"12","MIR3151"
"13","ZNF284"
"14","ZNF33B"
"15","PLD4"
"16","ASRGL1"
"17","MFSD4A"
"18","ZNF836"
"19","CDR2L"
"20","SYT15"
"21","PRG1"
"22","TARS"
"23","PXDNL"
"24","MCM2"
"25","CDKN2A.DT"
"26","MIR106B"
"27","FBXO31"
"28","NLGN3"
"29","ZNF649.AS1"
"30","PLEC"
"31","RIOK1"
"32","HTR2A"
"33","SGSH"
"34","SPRTN"
"35","FASTKD5"
"36","PIH1D2"
"37","ACADVL"
"38","POLR3K"
"39","CRLF3"
"40","PRPS2"
"41","VAMP2"
"42","PRKAG1"
"43","CLASRP"
"44","YTHDF2"
"45","PAICS"
"46","LRRC41"
"47","GOLGA7"
"48","MIR3117"
"49","GLYR1"
