"","V1"
"1","PF4V1"
"2","CD177"
"3","FADS2"
"4","C19orf33"
"5","PCDHGA12"
"6","MIR601"
"7","TRAV4"
"8","ASRGL1"
"9","MFSD4A"
"10","CDR2L"
"11","BCKDHB"
"12","PRG1"
"13","ZNF500"
"14","CDKN2A.DT"
"15","CFAP298"
"16","NLGN3"
"17","ZNF649.AS1"
"18","PLEC"
"19","RIOK1"
"20","HTR2A"
"21","SGSH"
"22","SUOX"
"23","TMEM109"
"24","ATP8A2"
"25","EXOSC10"
"26","VAMP2"
"27","PAICS"
"28","LRRC41"
"29","GOLGA7"
"30","MIR3117"
"31","GLYR1"
