"","V1"
"141","STK39"
"142","CCND2"
"143","LCMT2"
"144","EIF2AK3"
"145","CYB5R1"
"146","NDRG2"
"147","PPP1R16B"
"148","ZNF500"
"149","ZNF45"
"150","NOLC1"
"151","PXDNL"
"152","CD63"
"153","MCM6"
"154","MCM2"
"155","MIR1243"
"156","PLEKHA8P1"
"157","CDKN2A.DT"
"158","HACD3"
"159","SSRP1"
"160","BCL9"
"161","ZNF136"
"162","METTL16"
"163","ANXA6"
"164","SEC14L1P1"
"165","SF3A3"
"166","MPP5"
"167","ZNF331"
"168","RSL1D1"
"169","MIR106B"
"170","C1orf123"
"171","FBXO31"
"172","BIN1"
"173","PCDHGB7"
"174","TTC3"
"175","CSTF3"
"176","MAP3K9"
"177","CFAP298"
"178","NLGN3"
"179","HTATSF1"
"180","DDX18"
"181","LAS1L"
"182","UTP20"
"183","IBTK"
"184","IPP"
"185","LINC00330"
"186","MIR4489"
"187","DNAJC21"
"188","SLFN5"
"189","TOMM70"
"190","MTREX"
"191","GTF2H3"
"192","ZBTB3"
"193","SCAMP3"
"194","MAGED1"
"195","NSRP1"
"196","EXOSC2"
"197","PEBP1"
"198","BCAS2"
"199","TULP4"
"200","ZNF649.AS1"
"201","HNRNPR"
"202","SRP72"
"203","KLHL11"
"204","EBAG9"
"205","NCL"
"206","AARS"
"207","PLEC"
"208","IMPDH2"
"209","SUPT16H"
"210","DDX47"
"211","RIOK1"
"212","NOP56"
"213","HTR2A"
"214","DLAT"
"215","TRMT6"
"216","GNPTAB"
"217","KRT20"
"218","ZNF841"
"219","SGSH"
"220","HSPA9"
"221","CALB1"
"222","NDUFA9"
"223","GPN1"
"224","BLID"
"225","USP11"
"226","RFC1"
"227","SUOX"
"228","GRWD1"
"229","SERBP1"
"230","SPRTN"
"231","CDC23"
"232","PDCD4"
"233","TCEA1"
"234","RUVBL2"
"235","SRP68"
"236","NAA30"
"237","BRD3OS"
"238","EPRS"
"239","AES"
"240","RBBP7"
"241","PRPF19"
"242","DCAF1"
"243","ZNF275"
"244","LSG1"
"245","POLR3H"
"246","FASTKD5"
"247","SUV39H1"
"248","DDX20"
"249","DNAJB11"
"250","HSPA4"
"251","TMEM109"
"252","DBR1"
"253","CAMKK2"
"254","LMNB2"
"255","SMC3"
"256","RAP1GDS1"
"257","SEC22A"
"258","ATP1A1"
"259","PIH1D2"
"260","ZW10"
"261","KLHL20"
"262","SHQ1"
"263","ZNF280C"
"264","CPSF4"
"265","BAZ1B"
"266","TOE1"
"267","TMEM209"
"268","EIF4A3"
"269","PRPS1"
"270","DKC1"
"271","ACADVL"
"272","ZNF574"
"273","ATP8A2"
"274","ATG16L2"
"275","MAP7D3"
"276","ZBTB4"
"277","TSN"
"278","RUFY2"
"279","TDP1"
"280","MCTP1"
"281","EHMT2"
"282","API5"
"283","POLR3K"
"284","AIFM1"
"285","GORASP2"
"286","CCT4"
"287","MAP4"
"288","ASTE1"
"289","BRCC3"
"290","DGKI"
"291","NOB1"
"292","SLC35B4"
"293","CDK2AP2"
"294","UTP4"
"295","PHB"
"296","ZNF3"
"297","ATP5PB"
"298","EIF3G"
"299","MANBA"
"300","RNGTT"
"301","INTS9"
"302","TMSB10"
"303","USP14"
"304","ACACA"
"305","PRPF6"
"306","PRPF38A"
"307","PIK3R1"
"308","DRG1"
"309","DDX54"
"310","SAP30L"
"311","SCMH1"
"312","PRKCSH"
"313","CRLF3"
"314","NARS"
"315","SLC12A4"
"316","EXOSC10"
"317","TECR"
"318","RPRD2"
"319","EIF3D"
"320","PRPS2"
"321","ABT1"
"322","ASPSCR1"
"323","LZIC"
"324","VAMP2"
"325","CDC5L"
"326","MDH2"
"327","PRKAG1"
"328","CSTF1"
"329","METAP1"
"330","CLASRP"
"331","DHDDS"
"332","ELAVL1"
"333","MRPL49"
"334","FBXL12"
"335","PPP2R1A"
"336","HNRNPM"
"337","OR51A7"
"338","DLG1"
"339","YTHDF2"
"340","KHDRBS1"
"341","VPS11"
"342","PAICS"
"343","SARS"
"344","LRRC41"
"345","MED1"
"346","GGNBP2"
"347","COPS6"
"348","SMPX"
"349","ACBD3"
"350","AAR2"
"351","AQR"
"352","GMEB1"
"353","PPIB"
"354","GOLGA7"
"355","G3BP2"
"356","TERF2"
"357","MIR3117"
"358","GLYR1"
"359","MED13"
