"","V1"
"1","PF4V1"
"2","CD177"
"3","FADS2"
"4","MMRN1"
"5","VNN1"
"6","CMTM5"
"7","WASF3"
"8","CXCR2P1"
"9","LINC00989"
"10","RBPMS2"
"11","SIGLEC17P"
"12","PROS1"
"13","PPBP"
"14","MYCT1"
"15","GUCY1B1"
"16","P2RY12"
"17","MGAM2"
"18","TMEM40"
"19","KIR3DL1"
"20","RAB27B"
"21","ANGPT1"
"22","C19orf33"
"23","GUSBP1"
"24","PF4"
"25","AVPR1A"
"26","TRAV6"
"27","TRBV5.6"
"28","IRAK1BP1"
"29","PKHD1L1"
"30","C2orf88"
"31","AK5"
"32","LGALSL"
"33","KIF20B"
"34","PDGFD"
"35","C8orf88"
"36","NECAB1"
"37","TRDJ3"
"38","RPH3A"
"39","DOCK4"
"40","ZNF749"
"41","BCL7A"
"42","TRBV6.6"
"43","PCDHGA12"
"44","TRAV2"
"45","GRB10"
"46","MIR601"
"47","ZNF594"
"48","MIR4762"
"49","SLC8A1.AS1"
"50","CCDC152"
"51","KIF3A"
"52","TRAV4"
"53","PCDHGB5"
"54","MED12L"
"55","ZNF605"
"56","SLC25A4"
"57","MIR3151"
"58","NCALD"
"59","FAM86EP"
"60","SIPA1L2"
"61","SRGAP3.AS2"
"62","ZNF284"
"63","ZNF33B"
"64","SNX25"
"65","MAGOHB"
"66","SCARF1"
"67","THBS3"
"68","CD3G"
"69","TRBV6.5"
"70","ABCD2"
"71","PAQR8"
"72","CHML"
"73","TRBJ2.6"
"74","SHROOM4"
"75","BCAS4"
"76","TRAJ10"
"77","LTV1"
"78","IGF2BP3"
"79","CD6"
"80","PLD4"
"81","CEP78"
"82","LDHB"
"83","PTCH1"
"84","LHFPL6"
"85","TRBJ2.2"
"86","LOC389765"
"87","ZNF607"
"88","CHCHD7"
"89","TRBJ2.5"
"90","SGCB"
"91","CLIC3"
"92","TAF1B"
"93","ASRGL1"
"94","IL2RB"
"95","MIR4266"
"96","NVL"
"97","FANCF"
"98","SELENOM"
"99","GPR18"
"100","LOC84214"
"101","STAT4"
"102","RRP1B"
"103","MOCS2"
"104","ZFP14"
"105","XPA"
"106","RIOK2"
"107","MFSD4A"
"108","DIS3L"
"109","ZNF836"
"110","PNO1"
"111","FAM50B"
"112","IKZF3"
"113","CDR2L"
"114","HSP90B1"
"115","SYT15"
"116","SIDT1"
"117","VEGFB"
"118","SPTBN1"
"119","NAA15"
"120","ALDH18A1"
"121","LINC02035"
"122","ZNF383"
"123","WDR3"
"124","CCDC43"
"125","PARP1"
"126","CWF19L2"
"127","NEAT1"
"128","POLR1B"
"129","LINC01310"
"130","WDR92"
"131","BCKDHB"
"132","TSEN54"
"133","TIMM21"
"134","MRPL51"
"135","EIF5B"
"136","PRG1"
"137","PLRG1"
"138","ZNF699"
"139","ZNF614"
"140","TARS"
