"","V1"
"1","PF4V1"
"2","CD177"
"3","FADS2"
"4","VNN1"
"5","SIGLEC17P"
"6","KIR3DL1"
"7","ANGPT1"
"8","C19orf33"
"9","PCDHGA12"
"10","MIR601"
"11","TRAV4"
"12","PCDHGB5"
"13","MIR3151"
"14","ZNF284"
"15","ZNF33B"
"16","LTV1"
"17","PLD4"
"18","CLIC3"
"19","ASRGL1"
"20","MIR4266"
"21","NVL"
"22","STAT4"
"23","MFSD4A"
"24","ZNF836"
"25","CDR2L"
"26","SYT15"
"27","PRG1"
"28","TARS"
"29","ZNF500"
"30","PXDNL"
"31","MCM2"
"32","CDKN2A.DT"
"33","SF3A3"
"34","MIR106B"
"35","FBXO31"
"36","NLGN3"
"37","ZNF649.AS1"
"38","PLEC"
"39","RIOK1"
"40","HTR2A"
"41","SGSH"
"42","SUOX"
"43","SPRTN"
"44","FASTKD5"
"45","TMEM109"
"46","DBR1"
"47","LMNB2"
"48","PIH1D2"
"49","EIF4A3"
"50","ACADVL"
"51","POLR3K"
"52","DGKI"
"53","SAP30L"
"54","CRLF3"
"55","EXOSC10"
"56","EIF3D"
"57","PRPS2"
"58","ASPSCR1"
"59","VAMP2"
"60","PRKAG1"
"61","CLASRP"
"62","YTHDF2"
"63","PAICS"
"64","LRRC41"
"65","GOLGA7"
"66","MIR3117"
"67","GLYR1"
