"","coef_lasso","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross"
"(Intercept)",NA,-1.6420282152074,1,-1.55210349728729,2,-1.4427548113353,3,-1.14002197381916,4,-1.49613763744465,5,-1.49613763744465,6,-1.61216939571233,7,-1.49613763744465,8,-1.14002197381916,9,-1.32331629781983,10,-1.34631534748011,11,-1.1561204008727,12,-1.22365363491064,13,-1.49613763744465,14,-1.55210349728729,15,-1.24156745210449,16,-1.61216939571233,17,-1.46904800394021,18,-1.6420282152074,19,-1.41743854593385,20,-1.4427548113353,21,-1.41743854593385,22,-1.67283492435567,23,-1.20616678384373,24,-1.46904800394021,25,-1.41743854593385,26,-1.39274988862227,27,-1.32331629781983,28,-1.30063736539433,29,-1.61216939571233,30
"PF4V1",NA,0.159220841472132,1,0.138018679533187,2,0.096971803703939,3,0.0784011121580988,4,0.117263589149787,5,0.117263589149787,6,0.153623522837392,7,0.117263589149787,8,0.0784011121580988,9,0.0513620585161078,10,0.0590118621501686,11,0.0721546774224821,12,0.0504109139229144,13,0.117263589149787,14,0.138018679533187,15,0.046641791342835,16,0.153623522837392,17,0.107190314680295,18,0.159220841472132,19,0.0857512329168947,20,0.096971803703939,21,0.0857512329168947,22,0.166330033105518,23,0.0548276771968606,24,0.107190314680295,25,0.0857512329168947,26,0.0747598806603864,27,0.0513620585161078,28,0.0426425341867195,29,0.153623522837392,30
"CD177",NA,0.219913022858447,1,0.207089008898615,2,0.188599376166403,3,0.0708623148892922,4,0.19762517012963,5,0.19762517012963,6,0.217654572330935,7,0.19762517012963,8,0.0708623148892922,9,0.155428596973136,10,0.162718295252704,11,0.0818539083332109,12,0.119450591547853,13,0.19762517012963,14,0.207089008898615,15,0.127045056702818,16,0.217654572330935,17,0.193113527375824,18,0.219913022858447,19,0.183667680820946,20,0.188599376166403,21,0.183667680820946,22,0.222476430032867,23,0.111371369288792,24,0.193113527375824,25,0.183667680820946,26,0.177926502489142,27,0.155428596973136,28,0.149021936539076,29,0.217654572330935,30
"FADS2",NA,0.399693723506,1,0.344455424016616,2,0.283914523319873,3,0.110218622907473,4,0.313297976818671,5,0.313297976818671,6,0.380830083768202,7,0.313297976818671,8,0.110218622907473,9,0.226579585135468,10,0.236347381299324,11,0.124036184748974,12,0.173487985222712,13,0.313297976818671,14,0.344455424016616,15,0.185268947004111,16,0.380830083768202,17,0.298108001645777,18,0.399693723506,19,0.270474509723732,20,0.283914523319873,21,0.270474509723732,22,0.41870467999533,23,0.162255533933752,24,0.298108001645777,25,0.270474509723732,26,0.257693521626397,27,0.226579585135468,28,0.2163338680385,29,0.380830083768202,30
"MMRN1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"VNN1",NA,0.0824760428946072,1,0.0694181630067316,2,0.0463959344284261,3,0,4,0.0587988907897112,5,0.0587988907897112,6,0.0783853830664467,7,0.0587988907897112,8,0,9,0.0110856311665236,10,0.0170679763409443,11,0,12,0,13,0.0587988907897112,14,0.0694181630067316,15,0,16,0.0783853830664467,17,0.0529406479500564,18,0.0824760428946072,19,0.0392326261648801,20,0.0463959344284261,21,0.0392326261648801,22,0.0870222430883508,23,0,24,0.0529406479500564,25,0.0392326261648801,26,0.032411160703289,27,0.0110856311665236,28,0.00610603900583973,29,0.0783853830664467,30
"CMTM5",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"WASF3",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"CXCR2P1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"LINC00989",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
