"","accuracy","precision","recall","F_measure","specificity","AUC"
"ridge",0.93558282208589,0.928571428571429,0.393939393939394,0.553191489361702,0.996587030716723,0.78125
"lasso",0.941717791411043,0.818181818181818,0.545454545454545,0.654545454545455,0.986348122866894,0.907196969696969
"elatic net",0.94478527607362,0.857142857142857,0.545454545454545,0.666666666666667,0.989761092150171,0.912405303030303
"L1/2",0.941717791411043,0.733333333333333,0.666666666666667,0.698412698412698,0.972696245733788,0.872159090909091
"L0",0,0,0,0,0,0
"SCAD",0.932515337423313,0.761904761904762,0.484848484848485,0.592592592592593,0.982935153583618,0.875
"MCP",0.926380368098159,0.736842105263158,0.424242424242424,0.538461538461539,0.982935153583618,0.821969696969697
