"","coef_ridge","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross"
"(Intercept)",NA,-1.04248198279098,1,-1.04795377732497,2,-1.04522124079844,3,-1.03720897133814,4,-0.997731898971561,5,-1.05662410364111,6,-1.05365639062564,7,-1.05365639062564,8,-1.02960443655681,9,-1.04248198279098,10,-1.03720897133814,11,-1.0508036995905,12,-1.06907295993095,13,-1.03465903115601,14,-1.04795377732497,15,-1.06907295993095,16,-1.04522124079844,17,-1.03465903115601,18,-1.05365639062564,19,-1.04522124079844,20,-1.03465903115601,21,-1.05365639062564,22,-1.0508036995905,23,-0.989380292467915,24,-1.07947775551694,25,-1.0508036995905,26,-1.01307750397322,27,-1.04795377732497,28,-1.04248198279098,29,-1.02715879971715,30
"PF4V1",NA,0.0187295055592595,1,0.020088681592056,2,0.0193965739679018,3,0.017452802930385,4,0.00943524810984859,5,0.0222879154551622,6,0.0215332978183558,7,0.0215332978183558,8,0.0156864349022208,9,0.0187295055592595,10,0.017452802930385,11,0.0207983835783788,12,0.0255457431466188,13,0.0168428086176223,14,0.020088681592056,15,0.0255457431466188,16,0.0193965739679018,17,0.0168428086176223,18,0.0215332978183558,19,0.0193965739679018,20,0.0168428086176223,21,0.0215332978183558,22,0.0207983835783788,23,0.00814352327183292,24,0.0282294727674771,25,0.0207983835783788,26,0.0121863943021096,27,0.020088681592056,28,0.0187295055592595,29,0.0151337233504132,30
"CD177",NA,0.0169331267156983,1,0.0182274785334888,2,0.017567415891881,3,0.0157267198814519,4,0.00834557226534216,5,0.0203460509841834,6,0.0196147588625807,7,0.0196147588625807,8,0.0140726398734851,9,0.0169331267156983,10,0.0157267198814519,11,0.018908382813883,12,0.0235386169075735,13,0.0151534242893665,14,0.0182274785334888,15,0.0235386169075735,16,0.017567415891881,17,0.0151534242893665,18,0.0196147588625807,19,0.017567415891881,20,0.0151534242893665,21,0.0196147588625807,22,0.018908382813883,23,0.00718333584855321,24,0.0262005221985737,25,0.018908382813883,26,0.0108434898429352,27,0.0182274785334888,28,0.0169331267156983,29,0.0135582483597705,30
"FADS2",NA,0.0184103189119676,1,0.0199261384543194,2,0.0191515282440179,3,0.0170085922836427,4,0.00870580465842219,5,0.0224305630701888,6,0.0215635655216477,7,0.0215635655216477,8,0.0151051134873994,9,0.0184103189119676,10,0.0170085922836427,11,0.0207277525256051,12,0.0262533245101614,13,0.0163465289502436,14,0.0199261384543194,15,0.0262533245101614,16,0.0191515282440179,17,0.0163465289502436,18,0.0215635655216477,19,0.0191515282440179,20,0.0163465289502436,21,0.0215635655216477,22,0.0207277525256051,23,0.00744804426473418,24,0.0294867779885588,25,0.0207277525256051,26,0.0114576266931662,27,0.0199261384543194,28,0.0184103189119676,29,0.0145180019976068,30
"MMRN1",NA,0.0105147019093896,1,0.0110587884985665,2,0.0107831056640122,3,0.00998404214750326,4,0.00616110239965843,5,0.0118934697538089,6,0.0116141414776822,7,0.0116141414776822,8,0.0092177358417965,9,0.0105147019093896,10,0.00998404214750326,11,0.0113330220478276,12,0.0130379711313729,13,0.00972285015203736,14,0.0110587884985665,15,0.0130379711313729,16,0.0107831056640122,17,0.00972285015203736,18,0.0116141414776822,19,0.0107831056640122,20,0.00972285015203736,21,0.0116141414776822,22,0.0113330220478276,23,0.00545246042812698,24,0.0139103475631972,25,0.0113330220478276,26,0.00757707161369079,27,0.0110587884985665,28,0.0105147019093896,29,0.00896933931430614,30
"VNN1",NA,0.0134435179800929,1,0.0144415115421857,2,0.0139335325975007,3,0.0125094141223796,4,0.00670072790925488,5,0.0160672762999259,6,0.0155067081964221,7,0.0155067081964221,8,0.0112220262500521,9,0.0134435179800929,10,0.0125094141223796,11,0.0149654742982766,12,0.0184991379703386,13,0.0120643277893571,14,0.0144415115421857,15,0.0184991379703386,16,0.0139335325975007,17,0.0120643277893571,18,0.0155067081964221,19,0.0139335325975007,20,0.0120643277893571,21,0.0155067081964221,22,0.0149654742982766,23,0.00577070516614957,24,0.0205095433294075,25,0.0149654742982766,26,0.00868553302820936,27,0.0144415115421857,28,0.0134435179800929,29,0.0108201452686217,30
"CMTM5",NA,0.00684142677263667,1,0.00704820976243276,2,0.00694168187933432,3,0.00663236798328704,4,0.00486754192117963,5,0.00735079989593038,6,0.00725113819699697,7,0.00725113819699697,8,0.00631945707620533,9,0.00684142677263667,10,0.00663236798328704,11,0.00714761305203988,12,0.00775250908820187,13,0.00652448355297384,14,0.00704820976243276,15,0.00775250908820187,16,0.00694168187933432,17,0.00652448355297384,18,0.00725113819699697,19,0.00694168187933432,20,0.00652448355297384,21,0.00725113819699697,22,0.00714761305203988,23,0.00447219364456335,24,0.00800156944955757,25,0.00714761305203988,26,0.00558524054343759,27,0.00704820976243276,28,0.00684142677263667,29,0.00621219131006396,30
"WASF3",NA,0.010210776845588,1,0.0107078376310944,2,0.0104539565171063,3,0.0097278094422001,4,0.00624901192980377,5,0.0114746359540997,6,0.0112174686499086,7,0.0112174686499086,8,0.00903379490014805,9,0.010210776845588,10,0.0097278094422001,11,0.0109577432016794,12,0.0125484973808072,13,0.00948927995285056,14,0.0107078376310944,15,0.0125484973808072,16,0.0104539565171063,17,0.00948927995285056,18,0.0112174686499086,19,0.0104539565171063,20,0.00948927995285056,21,0.0112174686499086,22,0.0109577432016794,23,0.00559051577455853,24,0.0133577623412489,25,0.0109577432016794,26,0.00754613210305217,27,0.0107078376310944,28,0.010210776845588,29,0.00880785948012512,30
"CXCR2P1",NA,0.00607930176223793,1,0.00635447194161676,2,0.00621163936476382,3,0.00581668058037394,4,0.00397814042529607,5,0.00678985843711993,6,0.006642601084499,7,0.006642601084499,8,0.00544673217557047,9,0.00607930176223793,10,0.00581668058037394,11,0.00649346319854699,12,0.00743703776857436,13,0.0056872457421765,14,0.00635447194161676,15,0.00743703776857436,16,0.00621163936476382,17,0.0056872457421765,18,0.006642601084499,19,0.00621163936476382,20,0.0056872457421765,21,0.006642601084499,22,0.00649346319854699,23,0.00362162218381304,24,0.00794576843496869,25,0.00649346319854699,26,0.00466460983831727,27,0.00635447194161676,28,0.00607930176223793,29,0.00532644148215972,30
"LINC00989",NA,0.00516831838221083,1,0.00529696422852643,2,0.00523065359908788,3,0.00503623730813411,4,0.00386191685064819,5,0.00548256592888668,6,0.00542078002610598,7,0.00542078002610598,8,0.00483627754819656,9,0.00516831838221083,10,0.00503623730813411,11,0.00535838977286545,12,0.00572371789396826,13,0.00496680920061561,14,0.00529696422852643,15,0.00572371789396826,16,0.00523065359908788,17,0.00496680920061561,18,0.00542078002610598,19,0.00523065359908788,20,0.00496680920061561,21,0.00542078002610598,22,0.00535838977286545,23,0.00358287763338145,24,0.00584713611986104,25,0.00535838977286545,26,0.00435320713918815,27,0.00529696422852643,28,0.00516831838221083,29,0.00476616472937178,30
