y.test	Lable
GSM1900772	-1.32364186444441	0
GSM1900777	1.9949769644988	1
GSM1900781	-0.98381875205176	1
GSM1900789	-1.91227246453458	0
GSM1900798	0.133216303873461	1
GSM1900806	-2.17136758236222	0
GSM1900817	-0.794625578781207	1
GSM1900826	-1.6689820202362	0
GSM1900834	-1.72258131222532	0
GSM1900841	-1.70169002124577	1

