GSM1900772	GSM1900777	GSM1900789	GSM1900806	GSM1900817	GSM1900826	GSM1900834	GSM1900849	GSM1900856	GSM1900863	GSM1900890	GSM1900905	GSM1900912	GSM1900922	GSM1900929	GSM1900944	GSM1900950
Lable	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0
SPARCL1	3.53007	3.6471	3.22488	3.42452	3.11639	3.66747	3.18201	3.78747	2.91718	3.18875	3.61588	2.98278	3.0343	2.98743	3.37166	3.59272	3.45727
ACTG2	4.50716	4.8486	4.60468	4.38657	4.69971	4.79415	4.02462	5.33286	4.71146	5.05628	4.02473	4.55262	4.57122	4.34179	4.93781	4.79422	4.52148
IGFBP5	3.39306	4.23125	3.64467	3.96025	3.66655	3.95369	4.07924	3.97348	3.48349	4.12094	4.03469	3.63598	3.82083	3.54762	3.80085	4.07894	4.0168
APOD	4.95975	4.57818	3.85304	4.82097	4.46813	4.4385	4.80308	4.99883	4.32004	4.02982	4.13446	4.17544	3.98086	3.59916	4.86854	3.80244	4.15958
XAGE2	3.38144	3.96045	3.13284	3.63837	3.61956	3.4892	3.75509	4.36249	3.6439	3.79353	3.52973	3.52055	3.54032	3.50577	3.81439	3.54179	3.94413
SPP1	4.23425	3.97365	3.24514	3.69628	4.12407	3.12069	4.94117	3.02854	3.70501	2.94408	3.8809	4.12238	3.82069	3.54982	3.4228	3.97401	3.9247
CHRDL1	3.60685	4.42404	3.58771	3.51584	3.72696	3.4491	3.25051	3.26015	3.4835	3.66561	3.43585	3.62062	3.71164	3.67073	3.8984	3.45407	3.69091
DKK1	2.79195	2.26605	2.56497	2.48552	2.78288	2.65181	2.43194	3.44922	2.53994	3.1211	2.37958	2.55417	2.54201	2.51992	2.56251	3.11142	2.59643
MGP	3.21529	2.92925	2.88508	2.69659	2.80229	2.77163	3.27273	3.1496	3.16618	3.0324	2.83	3.2581	2.88244	3.29501	2.96516	3.36731	3.00202
LUM	2.34401	2.7679	2.27249	2.51693	2.49242	2.85058	2.82641	2.72693	2.40314	2.84571	2.44384	2.65355	2.60055	2.34732	2.45421	2.98703	3.45271
